2: Simpson>Kiss>Montroll>Wright>Smith
2: Write-In>Montroll>Smith
2: Write-In>Montroll>Smith>Kiss>Simpson
2: Write-In>Montroll>Smith>Simpson>Kiss
2: Write-In>Montroll>Simpson>Smith>Kiss
2: Wright>Smith>Montroll>Simpson>Write-In
2: Wright>Kiss>Smith>Simpson
2: Wright>Kiss>Simpson
2: Wright>Kiss>Simpson>Smith>Montroll
2: Wright>Montroll>Simpson>Kiss
2: Wright>Simpson>Kiss>Montroll>Smith
2: Wright>Write-In>Montroll>Smith>Kiss
2: Wright>Write-In>Montroll>Kiss
1: Smith>Kiss>Montroll>Simpson>Write-In
1: Smith>Kiss>Montroll>Wright>Write-In
1: Smith>Kiss>Simpson>Wright
1: Smith>Kiss>Wright>Simpson
1: Smith>Kiss>Wright>Simpson>Write-In
1: Smith>Montroll>Kiss>Simpson>Write-In
1: Smith>Montroll>Simpson>Kiss>Write-In
1: Smith>Montroll>Wright>Simpson
1: Smith>Montroll>Wright>Write-In>Simpson
1: Smith>Simpson>Kiss>Wright
1: Smith>Simpson>Montroll>Kiss
1: Smith>Simpson>Montroll>Write-In>Kiss
1: Smith>Simpson>Montroll>Wright
1: Smith>Simpson>Montroll>Wright>Kiss
1: Smith>Simpson>Write-In
1: Smith>Simpson>Write-In>Montroll>Kiss
1: Smith>Simpson>Wright>Kiss>Montroll
1: Smith>Write-In
1: Smith>Wright>Kiss>Montroll>Write-In
1: Kiss=Write-In>Wright>Montroll>Smith>Simpson
1: Kiss>Smith>Montroll>Write-In
1: Kiss>Smith>Montroll>Write-In>Wright
1: Kiss>Smith>Simpson>Write-In>Montroll
1: Kiss>Smith>Wright>Simpson
1: Kiss>Montroll>Smith>Write-In
1: Kiss>Montroll>Smith>Wright>Write-In
1: Kiss>Montroll>Simpson>Write-In>Wright
1: Kiss>Montroll>Simpson>Wright
1: Kiss>Montroll>Write-In>Wright>Simpson
1: Kiss>Simpson>Smith>Write-In
1: Kiss>Simpson>Smith>Write-In>Wright
1: Kiss>Simpson>Montroll>Smith>Write-In
1: Kiss>Simpson>Montroll>Wright>Write-In
1: Kiss>Simpson>Write-In
1: Kiss>Simpson>Write-In>Montroll>Wright
1: Kiss>Simpson>Wright>Smith>Montroll
1: Kiss>Write-In>Smith>Montroll>Simpson
1: Kiss>Write-In>Montroll
1: Kiss>Write-In>Montroll>Smith
1: Kiss>Write-In>Wright
1: Kiss>Write-In>Wright>Smith>Simpson
1: Kiss>Write-In>Wright>Simpson>Smith
1: Kiss>Wright>Smith>Montroll>Write-In
1: Kiss>Wright>Simpson>Montroll
1: Kiss>Wright>Simpson>Montroll>Write-In
1: Montroll>Smith>Simpson=Wright>Kiss
1: Montroll>Smith>Simpson>Wright
1: Montroll>Smith>Simpson>Wright>Write-In
1: Montroll>Kiss>Smith>Write-In>Wright
1: Montroll>Kiss>Simpson>Smith>Write-In
1: Montroll>Kiss>Simpson>Write-In>Smith
1: Montroll>Kiss>Simpson>Wright
1: Montroll>Kiss>Write-In>Wright
1: Montroll>Kiss>Write-In>Wright>Simpson
1: Montroll>Simpson>Smith>Kiss
1: Montroll>Simpson>Smith>Kiss>Write-In
1: Montroll>Simpson>Write-In>Smith>Kiss
1: Montroll>Simpson>Wright>Kiss
1: Montroll>Simpson>Wright>Write-In>Kiss
1: Montroll>Write-In>Smith>Kiss>Simpson
1: Montroll>Write-In>Simpson
1: Montroll>Write-In>Simpson>Smith
1: Montroll>Wright>Smith>Write-In
1: Montroll>Wright>Simpson>Kiss>Smith
1: Montroll>Wright>Write-In
1: Montroll>Wright>Write-In>Simpson>Kiss
1: Simpson>Smith>Kiss
1: Simpson>Smith>Montroll
1: Simpson>Smith>Montroll>Kiss>Wright
1: Simpson>Smith>Wright
1: Simpson>Smith>Wright>Montroll>Kiss
1: Simpson>Kiss>Smith>Montroll
