0 0.789281 0.185281	Random Pair
0.660285 0.624437 0.00770128	[SDom(wv)],[HITS(0.001)(PO)]
0.660712 0.623328 0.00769737	[SDom(wv)],[L-R offense/2(PO)]
0.661325 0.690648 0.0089239	L-R both/1.5(rel-margins)
0.662171 0.624558 0.00773776	[SDom(wv)],[L-R defense/0.5(PO)]
0.662401 0.626775 0.00779868	[SDom(wv)],[L-R offense/2.25(PO)]
0.664451 0.645133 0.0118207	[SDom(wv)],[L-R offense/1(rel-margins)]
0.666567 0.622512 0.00756413	[SDom(wv)],[Keener(0.001, +1, norm)(PO)]
0.669429 0.629038 0.00812706	[SDom(wv)],[L-R defense/0.25(PO)]
0.679078 0.613812 0.00758726	[SDom(wv)],[L-R both/0.75(PO)]
0.679326 0.612271 0.00758302	[SDom(wv)],[L-R both/2.25(PO)]
0.681611 0.61317 0.00761788	[SDom(wv)],[L-R both/0.5(PO)]
0.681805 0.656249 0.0138388	[SDom(wv)],[L-R offense/1.25(rel-margins)]
0.683267 0.615735 0.00765143	[SDom(wv)],[Sinkhorn(0.001, +1)(PO)]
0.683922 0.616044 0.00786123	[SDom(wv)],[L-R both/0.25(PO)]
0.687698 0.617691 0.00801174	[SDom(wv)],[ODM(0.001)(PO)]
0.688943 0.621612 0.00811045	[SDom(wv)],[L-R both/1.25(rel-margins)]
0.693158 0.0837434 0.0457301	AVGEliminate-[Plurality]/fd
0.694069 0.67757 0.0187759	[SDom(wv)],[L-R offense/1.5(rel-margins)]
0.697872 0.686757 0.0196044	[SDom(wv)],[L-R offense/1.75(rel-margins)]
0.700495 0.684942 0.0195337	[SDom(wv)],[HITS(0.001)(rel-margins)]
0.702618 0.6871 0.0205794	[SDom(wv)],[L-R offense/2(rel-margins)]
0.705579 0.693477 0.0225738	[SDom(wv)],[L-R offense/2.25(rel-margins)]
0.705896 0.630281 0.0089239	[SDom(wv)],[L-R both/1.5(rel-margins)]
0.706599 0.676523 0.0112542	L-R both/1.75(rel-margins)
0.712564 0.696009 0.0228657	[SDom(wv)],[Ext-Minmin(PO)]
0.714234 1.0687 0.108701	Gradual-[SDom(wv)](None, cardinal)
0.719233 0.211277 0.044656	[SDom(wv)],[AVGEliminate-[Plurality]/fd]
0.72129 0.41625 0.0334041	[SDom(wv)],[AVGEliminate-[Antiplurality]/fd]
0.725765 0.470365 0.0193832	[SDom(wv)],[VMedianOS-10(norm, tiebreak)]
0.729765 0.667707 0.0134232	L-R both/2(rel-margins)
0.730789 0.636944 0.0112542	[SDom(wv)],[L-R both/1.75(rel-margins)]
0.742311 0.645857 0.0134232	[SDom(wv)],[L-R both/2(rel-margins)]
0.744265 0.562009 0.00459894	[SDom(wv)],[Cardinal-10(norm)]
0.750525 0.409582 0.0251318	[SDom(wv)],[Nauru Borda]
0.753572 0.676469 0.0166913	L-R both/2.25(rel-margins)
0.753911 0.391245 0.0253155	Nauru Borda
0.765006 0.65471 0.0166913	[SDom(wv)],[L-R both/2.25(rel-margins)]
0.777446 0.567779 0.000359002	[SDom(wv)],[Cardinal-10]
0.779135 0.452029 0.0210332	[SDom(wv)],[VMedianOS-10(tiebreak)]
0.836688 0.957222 0.118783	Gradual-[SDom(wv)](None, ordinal)
0.845124 0.0515085 0.0697887	Plurality
0.846346 0.183486 0.0667069	[SDom(wv)],[Plurality]
0.865267 0.280516 0.160211	[SDom(wv)],[Random Pair]
0.89318 0.370713 0.0689694	[SDom(wv)],[Mode-Ratings]
0.916837 0.796246 0.0775281	[SDom(wv)],[Antiplurality]
0.999505 0.651609 0.10832	[SDom(wv)],[Gradual-[SDom(wv)](None, cardinal)]
1 0.681127 0.118783	[SDom(wv)],[Gradual-[SDom(wv)](None, ordinal)]
