0 0.920973 	Random Pair
0.305574 1.05619 	L-R offense/0.75(tourn-wv)
0.305591 1.05622 	[Smith(wv)],[L-R offense/0.5(tourn-wv)]
0.305599 1.05616 	[Smith(wv)],[Copeland]
0.305642 1.05628 	L-R offense/1.75(tourn-wv)
0.305659 1.05614 	[Smith(wv)],[L-R offense/0.75(tourn-wv)]
0.305664 1.05616 	Copeland
0.305673 1.05605 	[Smith(wv)],[Copeland]
0.305681 1.05635 	L-R offense/0.5(tourn-wv)
0.305726 1.05606 	L-R offense/2(tourn-wv)
0.30575 1.05615 	[Smith(wv)],[Copeland]
0.30575 1.05635 	[Smith(wv)],[L-R offense/2(tourn-wv)]
0.305755 1.05585 	Copeland
0.305768 1.0563 	Copeland
0.305772 1.05613 	Copeland
0.305788 1.05619 	[Smith(wv)],[L-R offense/2.25(tourn-wv)]
0.305806 1.05632 	[Smith(wv)],[Copeland]
0.305817 1.05622 	[Smith(wv)],[L-R offense/1(tourn-wv)]
0.305844 1.0563 	L-R offense/2.25(tourn-wv)
0.305886 1.05631 	[Smith(wv)],[Copeland]
0.305905 1.05643 	L-R offense/1.25(tourn-wv)
0.305906 1.05613 	L-R offense/1.5(tourn-wv)
0.305906 1.0563 	[Smith(wv)],[L-R offense/0.25(tourn-wv)]
0.305908 1.05597 	[Smith(wv)],[L-R offense/1.5(tourn-wv)]
0.305925 1.05601 	Copeland
0.305925 1.05625 	[Smith(wv)],[Copeland]
0.305938 1.0562 	L-R offense/0.25(tourn-wv)
0.305945 1.05619 	[Smith(wv)],[Copeland]
0.306015 1.05645 	L-R offense/1(tourn-wv)
0.306021 1.05632 	Copeland
0.306063 1.05624 	[Smith(wv)],[L-R offense/1.25(tourn-wv)]
0.306132 1.05642 	[Smith(wv)],[L-R offense/1.75(tourn-wv)]
0.30618 1.0672 	ODM-arctan(0.001)(tourn-wv)
0.306183 1.05616 	Copeland
0.306385 1.10853 	L-R offense/1.75(w/tv)
0.306853 1.07314 	Sinkhorn(0.001, +1)(tourn-wv)
0.30703 1.23596 	L-R offense/2.25(rel-margins)
0.307119 1.07298 	[Smith(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.307187 1.02536 	[Smith(wv)],[Keener(0.001, +0, raw)(tourn-wv)]
0.307835 1.02535 	[Smith(wv)],[Keener(0.001, +0, raw)(wv)]
0.30801 1.02653 	[Smith(wv)],[Keener(0.001, +0, raw)(fwv)]
0.308806 1.21685 	HITS(0.001)(rel-margins)
0.309614 1.07843 	Sinkhorn(0.001, +1)(wv)
0.309939 1.07823 	[Smith(wv)],[Sinkhorn(0.001, +1)(wv)]
0.310187 1.09538 	[Smith(wv)],[L-R offense/2.25(w/tv)]
0.310339 1.10048 	L-R offense/1.5(w/tv)
0.310442 1.09394 	[Smith(wv)],[L-R offense/2(w/tv)]
0.31047 1.06497 	[Smith(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.31047 1.07771 	[Smith(wv)],[Sinkhorn(0.001, +1)(w/tv)]
0.310552 1.0646 	Keener(0.001, +1, norm)(tourn-wv)
0.310677 1.07771 	Sinkhorn(0.001, +1)(w/tv)
0.311105 1.09409 	[Smith(wv)],[L-R offense/1.75(w/tv)]
0.311254 1.06375 	[Smith(wv)],[Keener(0.001, +0, norm)(tourn-wv)]
0.311453 1.09514 	L-R offense/1.25(w/tv)
0.312093 1.09144 	[Smith(wv)],[L-R offense/1.25(w/tv)]
