0 0.224663 0.259653	[SDom(wv)],[Random Pair]
0.465438 0.40038 0.0170044	L-R offense/0.25(fwv)
0.46544 0.294657 0.00254988	L-R offense/0.75(PO)
0.465444 0.399624 0.0169486	L-R offense/0.75(fwv)
0.465445 0.40037 0.0170169	[MDD(sum)(wv)],[L-R offense/0.25(wv)]
0.465451 0.400329 0.0170044	[SDom(wv)],[L-R offense/0.5(fwv)]
0.465454 0.4003 0.0170029	L-R offense/0.5(wv)
0.465457 0.400253 0.0170029	[SDom(wv)],[L-R offense/0.5(wv)]
0.465458 0.40033 0.0170029	[Schwartz(wv)],[L-R offense/0.5(wv)]
0.46546 0.400281 0.0170029	[MDD(sum)(wv)],[L-R offense/0.5(wv)]
0.465469 0.39914 0.0169884	L-R offense/0.75(wv)
0.465482 0.400356 0.0170044	[MDD(sum)(wv)],[L-R offense/0.5(fwv)]
0.465485 0.399986 0.0169818	[Schwartz(wv)],[L-R offense/0.75(wv)]
0.465493 0.400373 0.0170044	[Schwartz(wv)],[L-R offense/0.5(fwv)]
0.465499 0.293593 0.00256979	[SDom(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.465504 0.399936 0.0169818	[MDD(sum)(wv)],[L-R offense/0.75(wv)]
0.465511 0.400209 0.0170169	[Schwartz(wv)],[L-R offense/0.25(wv)]
0.465522 0.400397 0.0170169	[MDD(sum)(wv)],[L-R offense/0.75(rel-margins)]
0.465531 0.400402 0.0170044	[SDom(wv)],[L-R offense/0.25(fwv)]
0.465552 0.400407 0.0170044	[MDD(sum)(wv)],[L-R offense/0.25(fwv)]
0.465553 0.293635 0.00256979	Keener(0.001, +1, norm)(rel-margins)
0.465587 0.400372 0.0170044	L-R offense/0.5(fwv)
0.465603 0.400426 0.0170044	[Schwartz(wv)],[L-R offense/0.25(fwv)]
0.465627 0.401131 0.0170833	[MDD(sum)(wv)],[L-R offense/0.5(rel-margins)]
0.465672 0.269801 0.00447986	L-R offense/0.75(rel-margins)
0.465722 0.295557 0.00245073	[SDom(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.465916 0.295742 0.00245073	Sinkhorn(0.001, +1)(rel-margins)
0.465958 0.269751 0.00447986	[SDom(wv)],[L-R offense/0.75(rel-margins)]
0.466065 0.441055 0.0281627	[MDD(sum)(wv)],[Gradual-[Condorcet](None, ordinal)]
0.4661 0.292546 0.00260922	[SDom(wv)],[L-R both/1.5(PO)]
0.466176 0.292629 0.00260922	L-R both/1.5(PO)
0.466181 0.401867 0.0171594	[MDD(sum)(wv)],[L-R offense/1(wv)]
0.466375 0.402154 0.0171594	[Schwartz(wv)],[L-R offense/1(wv)]
0.466528 0.401546 0.0171477	[MDD(sum)(wv)],[L-R offense/1(rel-margins)]
0.466595 0.44024 0.02759	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.466636 0.401063 0.0172203	[Schwartz(wv)],[L-R offense/1(fwv)]
0.466641 0.292742 0.00260922	L-R both/1.25(PO)
0.466648 0.443014 0.0274608	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.46676 0.443589 0.0280273	[MDD(sum)(wv)],[Gradual-[Condorcet](None, cardinal)]
0.466773 0.292622 0.00260922	[SDom(wv)],[L-R both/1.75(PO)]
0.46679 0.401215 0.0172203	[MDD(sum)(wv)],[L-R offense/1(fwv)]
0.466829 0.292637 0.00260922	L-R both/1.75(PO)
0.466891 0.29293 0.00260922	[SDom(wv)],[L-R both/1.25(PO)]
0.467097 0.395252 0.0157115	[Schwartz(wv)],[L-R offense/0.5(rel-margins)]
0.4673 0.436508 0.0263393	[MDD(sum)(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.4674 0.407172 0.0181431	[Schwartz(wv)],[Keener(0.001, +1, raw)(fwv)]
0.467593 0.440355 0.0262351	[MDD(sum)(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.467651 0.406828 0.0181431	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(fwv)]
0.467827 0.400074 0.0173148	[MDD(sum)(wv)],[L-R offense/1.5(wv)]
0.467838 0.399402 0.0173023	[MDD(sum)(wv)],[L-R offense/1.75(fwv)]
0.467874 0.399425 0.0172398	[MDD(sum)(wv)],[L-R offense/1.25(rel-margins)]
0.467933 0.39981 0.0173023	[MDD(sum)(wv)],[L-R offense/2.25(wv)]
0.467934 0.399778 0.0173148	[MDD(sum)(wv)],[L-R offense/2.25(fwv)]
0.467954 0.399619 0.0173425	[MDD(sum)(wv)],[L-R offense/2(fwv)]
0.467991 0.399525 0.0173046	[MDD(sum)(wv)],[L-R offense/1.25(fwv)]
0.468053 0.403827 0.017533	[Schwartz(wv)],[L-R offense/0.25(rel-margins)]
0.46807 0.399626 0.0173046	[Schwartz(wv)],[L-R offense/1.25(fwv)]
0.468095 0.399567 0.0173382	[Schwartz(wv)],[L-R offense/1.75(fwv)]
0.468106 0.399701 0.0173148	[MDD(sum)(wv)],[L-R offense/2(wv)]
0.468203 0.403848 0.017533	[MDD(sum)(wv)],[L-R offense/0.25(rel-margins)]
0.468209 0.399146 0.0173698	[Schwartz(wv)],[L-R offense/2(wv)]
0.468222 0.399263 0.0173507	[Schwartz(wv)],[L-R offense/1.5(wv)]
0.468245 0.406722 0.0181502	Keener(0.001, +1, raw)(fwv)
0.468262 0.399752 0.0173218	[MDD(sum)(wv)],[L-R offense/1.5(fwv)]
0.468319 0.39115 0.0154972	[Schwartz(wv)],[L-R offense/0.75(rel-margins)]
0.468401 0.399593 0.01738	[MDD(sum)(wv)],[L-R offense/1.25(wv)]
0.468431 0.399991 0.0174022	[MDD(sum)(wv)],[L-R offense/1.5(rel-margins)]
0.468438 0.399672 0.01738	[Schwartz(wv)],[L-R offense/1.25(wv)]
0.468439 0.399074 0.017387	[Schwartz(wv)],[L-R offense/1.75(wv)]
0.46844 0.399137 0.0173577	[Schwartz(wv)],[L-R offense/1.5(fwv)]
0.46849 0.406751 0.0181502	[SDom(wv)],[Keener(0.001, +1, raw)(fwv)]
0.468505 0.399038 0.0173975	[Schwartz(wv)],[L-R offense/2(fwv)]
0.468511 0.398384 0.0170501	[SDom(wv)],[L-R offense/1(wv)]
0.468546 0.39804 0.0170501	L-R offense/1(wv)
0.468566 0.398485 0.0170302	[Schwartz(wv)],[L-R offense/2.25(wv)]
0.468576 0.400017 0.0173511	[MDD(sum)(wv)],[L-R offense/1.75(wv)]
0.468744 0.397675 0.0171063	[SDom(wv)],[L-R offense/1(fwv)]
0.468772 0.397617 0.0171063	L-R offense/1(fwv)
0.468803 0.398606 0.0170427	[Schwartz(wv)],[L-R offense/2.25(fwv)]
0.468816 0.292676 0.0025573	ODM-arctan(0.001)(PO)
0.469167 0.292888 0.0025573	[SDom(wv)],[ODM-arctan(0.001)(PO)]
0.469183 0.399842 0.0174311	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(PO)]
0.46964 0.400277 0.0176396	[MDD(sum)(wv)],[L-R offense/1.75(rel-margins)]
0.469695 0.389223 0.0155195	[Schwartz(wv)],[Keener(0.001, +1, raw)(rel-margins)]
0.470624 0.401139 0.0178113	[MDD(sum)(wv)],[L-R offense/2(rel-margins)]
0.470848 0.401262 0.0179355	[MDD(sum)(wv)],[L-R offense/2.25(rel-margins)]
0.471821 0.401454 0.018133	[MDD(sum)(wv)],[Ext-Minmin(PO)]
0.471859 0.493472 0.0673221	Schulze(tourn-wv)
0.472059 0.400517 0.018074	[MDD(sum)(wv)],[HITS(0.001)(rel-margins)]
0.472277 0.38974 0.0166004	[SDom(wv)],[L-R offense/1.25(fwv)]
0.472409 0.389814 0.0166004	L-R offense/1.25(fwv)
0.47244 0.493512 0.0673221	[Schwartz(wv)],[Schulze(tourn-wv)]
0.472594 0.389629 0.0166757	L-R offense/1.25(wv)
0.472634 0.49321 0.0666253	[SDom(wv)],[Schulze(tourn-wv)]
0.472662 0.439388 0.0300337	[MDD(sum)(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.472668 0.493352 0.0673221	[Schwartz(wv)],[Minmax(tourn-wv)]
0.472986 0.389797 0.0166757	[SDom(wv)],[L-R offense/1.25(wv)]
0.473357 0.4131 0.0207828	[Schwartz(wv)],[Sinkhorn(0.001, +1)(wv)]
0.473364 0.413468 0.0207828	Sinkhorn(0.001, +1)(wv)
0.473367 0.413361 0.0207828	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(wv)]
0.4734 0.413186 0.0207828	[SDom(wv)],[Sinkhorn(0.001, +1)(wv)]
0.473801 0.392321 0.0158415	[Schwartz(wv)],[L-R offense/1(rel-margins)]
0.474229 0.426757 0.0255398	[SDom(wv)],[ODM-arctan(0.001)(wv)]
0.474255 0.381397 0.015788	L-R offense/1.5(wv)
0.474291 0.408139 0.0188349	Gradual-[Copeland](None, ordinal)
0.474354 0.408223 0.0188349	[MDD(sum)(wv)],[Gradual-[Copeland](None, ordinal)]
0.474356 0.426616 0.0255398	[MDD(sum)(wv)],[ODM-arctan(0.001)(wv)]
0.474406 0.408136 0.0188349	[SDom(wv)],[Gradual-[Copeland](None, ordinal)]
0.47443 0.381208 0.0157951	[SDom(wv)],[L-R offense/1.5(fwv)]
0.474445 0.426483 0.0255398	[Schwartz(wv)],[ODM-arctan(0.001)(wv)]
0.474476 0.408316 0.0188349	[Schwartz(wv)],[Gradual-[Copeland](None, ordinal)]
0.474545 0.381467 0.015788	[SDom(wv)],[L-R offense/1.5(wv)]
0.474576 0.426463 0.0255398	ODM-arctan(0.001)(wv)
0.474665 0.381374 0.0157951	L-R offense/1.5(fwv)
0.475018 0.411404 0.018772	[MDD(sum)(wv)],[Gradual-[Copeland](None, cardinal)]
0.475056 0.41168 0.018772	Gradual-[Copeland](None, cardinal)
0.47509 0.411657 0.018772	[Schwartz(wv)],[Gradual-[Copeland](None, cardinal)]
0.475164 0.411496 0.018772	[SDom(wv)],[Gradual-[Copeland](None, cardinal)]
0.475398 0.389386 0.0157814	[Schwartz(wv)],[L-R both/2(rel-margins)]
0.475491 0.423459 0.0237851	[MDD(sum)(wv)],[VoteForAgainst]
0.475581 0.390194 0.016301	[Schwartz(wv)],[L-R offense/1.25(rel-margins)]
0.475668 0.402631 0.0167042	[Schwartz(wv)],[Dodgson-Quick(PO)]
0.476924 0.481734 0.0522566	[Schwartz(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.477233 0.391959 0.0142769	L-R offense/0.25(rel-margins)
0.477359 0.392021 0.0142769	[SDom(wv)],[L-R offense/0.25(rel-margins)]
0.477907 0.372423 0.0143429	L-R offense/1.75(fwv)
0.478085 0.372627 0.0143429	[SDom(wv)],[L-R offense/1.75(fwv)]
0.478126 0.372655 0.0143917	L-R offense/1.75(wv)
0.478403 0.372571 0.0143917	[SDom(wv)],[L-R offense/1.75(wv)]
0.47957 0.444593 0.0315445	[SDom(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.479655 0.449926 0.0333812	[MDD(sum)(wv)],[Eliminate-[VoteForAgainst]/fd]
0.479691 0.444249 0.0315445	[MDD(sum)(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.479822 0.44457 0.0315445	[Schwartz(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.479877 0.444133 0.0315445	Gradual-[2. order Copeland/2/1](None, ordinal)
0.480119 0.436539 0.0292717	[MDD(sum)(wv)],[Keener(0.001, +1, raw)(wv)]
0.480181 0.41846 0.0234037	ODM(0.001)(fwv)
0.480211 0.418841 0.0234037	[Schwartz(wv)],[ODM(0.001)(fwv)]
0.480377 0.393225 0.0164228	[Schwartz(wv)],[Keener(0.001, +1, norm)(PO)]
0.480388 0.418444 0.0234037	[MDD(sum)(wv)],[ODM(0.001)(fwv)]
0.480392 0.418285 0.0234037	ODM(0.001)(wv)
0.480475 0.41826 0.0234037	[Schwartz(wv)],[ODM(0.001)(wv)]
0.480476 0.418054 0.0234037	[MDD(sum)(wv)],[ODM(0.001)(wv)]
0.480502 0.362297 0.0129914	L-R offense/2(wv)
0.480508 0.41917 0.0225598	[MDD(sum)(wv)],[ODM(0.001)(rel-margins)]
0.480516 0.362471 0.0129914	[SDom(wv)],[L-R offense/2(wv)]
0.480536 0.423345 0.0226534	ODM-arctan(0.001)(rel-margins)
0.480543 0.479896 0.052118	[Schwartz(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.480544 0.418506 0.0234037	[SDom(wv)],[ODM(0.001)(fwv)]
0.480661 0.446444 0.031539	Gradual-[2. order Copeland/2/1](None, cardinal)
0.480711 0.437172 0.0292717	[SDom(wv)],[Keener(0.001, +1, raw)(wv)]
0.480713 0.418549 0.0234037	[SDom(wv)],[ODM(0.001)(wv)]
0.480834 0.284273 0.0027072	L-R both/1(PO)
0.480836 0.284215 0.0027072	[SDom(wv)],[L-R both/1(PO)]
0.480836 0.284243 0.0027072	L-R defense/1(PO)
0.480852 0.284175 0.0027072	[SDom(wv)],[L-R offense/1(PO)]
0.480859 0.28419 0.0027072	[SDom(wv)],[Borda]
0.48087 0.284109 0.0027072	Borda
0.480872 0.284105 0.0027072	L-R offense/1(PO)
0.480873 0.284152 0.0027072	[SDom(wv)],[L-R defense/1(PO)]
0.480893 0.284089 0.0027072	[SDom(wv)],[L-R both/2(PO)]
0.480899 0.284047 0.0027072	L-R both/2(PO)
0.480946 0.436433 0.0292717	Keener(0.001, +1, raw)(wv)
0.480999 0.423463 0.0226534	[Schwartz(wv)],[ODM-arctan(0.001)(rel-margins)]
0.481043 0.446078 0.031539	[Schwartz(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.481067 0.436506 0.0292717	[Schwartz(wv)],[Keener(0.001, +1, raw)(wv)]
0.48108 0.446389 0.031539	[SDom(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.481119 0.362607 0.0130691	L-R offense/2(fwv)
0.481185 0.49868 0.084761	[SDom(wv)],[Minmax(tourn-wv)]
0.481197 0.362339 0.0130691	[SDom(wv)],[L-R offense/2(fwv)]
0.481285 0.445954 0.031539	[MDD(sum)(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.481364 0.423537 0.0226534	[SDom(wv)],[ODM-arctan(0.001)(rel-margins)]
0.481368 0.391501 0.017127	[Schwartz(wv)],[L-R offense/1.5(rel-margins)]
0.481381 0.230112 0.00591251	[SDom(wv)],[L-R defense/0.25(PO)]
0.48172 0.230279 0.00591251	L-R defense/0.25(PO)
0.481738 0.392404 0.0165641	[Schwartz(wv)],[L-R both/2.25(rel-margins)]
0.482248 0.253718 0.00391071	[SDom(wv)],[L-R both/0.25(PO)]
0.482266 0.253484 0.00391071	L-R both/0.25(PO)
0.483169 0.402277 0.0211349	[Schwartz(wv)],[HITS(0.001)(fwv)]
0.483478 0.392069 0.0175517	[Schwartz(wv)],[L-R offense/1.75(rel-margins)]
0.483526 0.40254 0.0211349	[Schwartz(wv)],[HITS(0.001)(wv)]
0.483816 0.285195 0.00269432	L-R both/1(rel-margins)
0.483951 0.28514 0.00269432	[SDom(wv)],[L-R both/1(rel-margins)]
0.484071 0.267428 0.0031003	[SDom(wv)],[Sinkhorn(0.001, +1)(PO)]
0.484295 0.500596 0.09375	Minmax(tourn-wv)
0.48448 0.418797 0.0223099	ODM(0.001)(rel-margins)
0.484481 0.418861 0.0223099	[SDom(wv)],[ODM(0.001)(rel-margins)]
0.484491 0.267577 0.0031003	Sinkhorn(0.001, +1)(PO)
0.484555 0.418646 0.0223099	[Schwartz(wv)],[ODM(0.001)(rel-margins)]
0.484824 0.327809 0.00461337	L-R offense/0.5(rel-margins)
0.485101 0.32775 0.00461337	[SDom(wv)],[L-R offense/0.5(rel-margins)]
0.485163 0.424767 0.0238944	[MDD(sum)(wv)],[Nauru Borda]
0.48559 0.46739 0.0407002	[SDom(wv)],[Eliminate-[Borda]/fd]
0.485737 0.422509 0.0226819	[MDD(sum)(wv)],[VMedianOS-10(tiebreak)]
0.485753 0.442149 0.0314781	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(wv)]
0.486024 0.467329 0.0407002	Eliminate-[Borda]/fd
0.486614 0.253841 0.00357265	[SDom(wv)],[HITS(0.001)(PO)]
0.486664 0.254045 0.00357265	HITS(0.001)(PO)
0.486708 0.467817 0.0407002	[Schwartz(wv)],[Eliminate-[Borda]/fd]
0.487076 0.350106 0.010999	L-R offense/2.25(fwv)
0.487141 0.350166 0.010999	[SDom(wv)],[L-R offense/2.25(fwv)]
0.487206 0.414875 0.0200895	Gradual-[Schwartz(wv)](None, ordinal)
0.487402 0.271841 0.00283524	L-R both/0.75(PO)
0.487596 0.267476 0.0031167	[SDom(wv)],[L-R both/0.5(PO)]
0.487648 0.271903 0.00283524	[SDom(wv)],[L-R both/0.75(PO)]
0.487666 0.448273 0.031838	AVGEliminate-[Borda]/fd
0.487694 0.272128 0.00281963	[SDom(wv)],[L-R both/2.25(PO)]
0.487727 0.414825 0.0200895	[SDom(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.487852 0.265449 0.00308937	L-R offense/1.5(PO)
0.487857 0.350107 0.0109865	[SDom(wv)],[L-R offense/2.25(wv)]
0.487928 0.350162 0.0109865	L-R offense/2.25(wv)
0.487955 0.26753 0.0031167	L-R both/0.5(PO)
0.487997 0.415563 0.0200895	[Schwartz(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.488004 0.272169 0.00281963	L-R both/2.25(PO)
0.488027 0.265652 0.00308937	[SDom(wv)],[L-R offense/1.5(PO)]
0.488277 0.44806 0.031838	[SDom(wv)],[AVGEliminate-[Borda]/fd]
0.488694 0.265401 0.00312333	L-R defense/0.75(PO)
0.488715 0.265984 0.00312333	[SDom(wv)],[L-R defense/0.75(PO)]
0.488954 0.395324 0.0193939	[Schwartz(wv)],[Ext-Minmin(PO)]
0.488963 0.448354 0.031838	[Schwartz(wv)],[AVGEliminate-[Borda]/fd]
0.489162 0.393763 0.0189352	[Schwartz(wv)],[HITS(0.001)(rel-margins)]
0.489273 0.444754 0.0321882	[MDD(sum)(wv)],[AVGEliminate-[Plurality]/fd]
0.489301 0.417242 0.0200926	Gradual-[Schwartz(wv)](None, cardinal)
0.489336 0.4171 0.0200926	[Schwartz(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.489365 0.260477 0.00333843	L-R offense/1.75(PO)
0.489439 0.270526 0.00284227	L-R offense/1.25(PO)
0.489647 0.270864 0.00284227	[SDom(wv)],[L-R offense/1.25(PO)]
0.48966 0.260757 0.00333843	[SDom(wv)],[L-R offense/1.75(PO)]
0.489704 0.417244 0.0200926	[SDom(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.489806 0.246122 0.00424096	L-R both/1.25(rel-margins)
0.489995 0.246379 0.00424096	[SDom(wv)],[L-R both/1.25(rel-margins)]
0.490195 0.449111 0.0321886	[Schwartz(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.490362 0.449107 0.0321886	[SDom(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.490617 0.448651 0.0321886	Gradual-[Landau(wv)](None, cardinal)
0.490827 0.440829 0.0323166	[Schwartz(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.491037 0.441338 0.0323166	[SDom(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.491074 0.265222 0.00327519	ODM(0.001)(PO)
0.491098 0.265167 0.00327519	[SDom(wv)],[ODM(0.001)(PO)]
0.491315 0.44132 0.0323166	Gradual-[Landau(wv)](None, ordinal)
0.491653 0.256422 0.00356601	[SDom(wv)],[L-R offense/2(PO)]
0.491778 0.251002 0.00394506	[SDom(wv)],[L-R offense/2.25(PO)]
0.491793 0.250777 0.00394506	L-R offense/2.25(PO)
0.491917 0.256312 0.00356601	L-R offense/2(PO)
0.493332 0.254703 0.00378384	[SDom(wv)],[L-R defense/0.5(PO)]
0.493356 0.254686 0.00378384	L-R defense/0.5(PO)
0.494246 0.468528 0.0429463	[Schwartz(wv)],[Eliminate-[Nauru Borda]/fd]
0.498002 0.439592 0.0329072	[Schwartz(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.499022 0.217424 0.00753215	L-R both/1.5(rel-margins)
0.499051 0.217275 0.00753215	[SDom(wv)],[L-R both/1.5(rel-margins)]
0.500065 0.452956 0.0385278	[Schwartz(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.500888 0.45613 0.0436076	[SDom(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.501075 0.456764 0.0437095	[Schwartz(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.501134 0.456585 0.0437095	Gradual-[Smith(wv)](None, cardinal)
0.5027 0.421756 0.0262675	[Schwartz(wv)],[VMedianOS-10(norm, tiebreak)]
0.502717 0.449832 0.0437809	[SDom(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.503299 0.425826 0.0276506	[Schwartz(wv)],[Nauru Borda]
0.503349 0.421274 0.0258248	[Schwartz(wv)],[VMedianOS-10(tiebreak)]
0.503426 0.191992 0.0119499	[SDom(wv)],[L-R both/1.75(rel-margins)]
0.503598 0.19197 0.0119499	L-R both/1.75(rel-margins)
0.505908 0.241792 0.00671667	[SDom(wv)],[Keener(0.001, +1, raw)(rel-margins)]
0.50618 0.445399 0.0398866	[Schwartz(wv)],[Eliminate-[Antiplurality]/fd]
0.506211 0.241765 0.00671667	Keener(0.001, +1, raw)(rel-margins)
0.509293 0.458997 0.0648675	Gradual-[Condorcet](None, cardinal)
0.510134 0.435393 0.0390165	[Schwartz(wv)],[AVGEliminate-[Antiplurality]/fd]
0.510472 0.451782 0.0597607	[SDom(wv)],[Gradual-[Condorcet](None, ordinal)]
0.511379 0.235361 0.00803065	[SDom(wv)],[L-R offense/1(rel-margins)]
0.511691 0.235824 0.00803065	L-R offense/1(rel-margins)
0.512565 0.44201 0.0351226	AVGEliminate-[VoteForAgainst]/fd
0.512696 0.450595 0.0652531	Gradual-[Condorcet](None, ordinal)
0.513161 0.172728 0.017061	[SDom(wv)],[L-R both/2(rel-margins)]
0.513486 0.441952 0.0351226	[SDom(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.513552 0.173211 0.017061	L-R both/2(rel-margins)
0.513641 0.450883 0.0386176	[Schwartz(wv)],[Mode-Ratings]
0.514971 0.43624 0.0434624	[Schwartz(wv)],[Antiplurality]
0.515643 0.487068 0.0452038	[SDom(wv)],[Eliminate-[Nauru Borda]/fd]
0.516657 0.486878 0.0452038	Eliminate-[Nauru Borda]/fd
0.51745 0.463748 0.0548576	[Schwartz(wv)],[Random Pair]
0.518194 0.206755 0.0126534	[SDom(wv)],[L-R offense/1.25(rel-margins)]
0.518229 0.20685 0.0126534	L-R offense/1.25(rel-margins)
0.519512 0.304143 0.00798966	Dodgson-Quick(PO)
0.519722 0.304275 0.00798966	[SDom(wv)],[Dodgson-Quick(PO)]
0.522985 0.154278 0.0225555	L-R both/2.25(rel-margins)
0.523094 0.154221 0.0225555	[SDom(wv)],[L-R both/2.25(rel-margins)]
0.526909 0.179007 0.0188802	L-R offense/1.5(rel-margins)
0.52714 0.179047 0.0188802	[SDom(wv)],[L-R offense/1.5(rel-margins)]
0.535264 0.161093 0.0229533	[SDom(wv)],[L-R offense/1.75(rel-margins)]
0.536051 0.161427 0.0229533	L-R offense/1.75(rel-margins)
0.537933 0.135064 0.031379	[SDom(wv)],[HITS(0.001)(rel-margins)]
0.538523 0.135679 0.031379	HITS(0.001)(rel-margins)
0.544203 0.147202 0.0286058	[SDom(wv)],[L-R offense/2(rel-margins)]
0.544217 0.146517 0.0286058	L-R offense/2(rel-margins)
0.553066 0.127671 0.0337028	L-R offense/2.25(rel-margins)
0.553315 0.128693 0.0337028	[SDom(wv)],[L-R offense/2.25(rel-margins)]
0.561215 0.313612 0.00206505	[SDom(wv)],[Cardinal-10(norm)]
0.561364 0.31361 0.00206505	Cardinal-10(norm)
0.568284 0.310732 0	[SDom(wv)],[Cardinal-10]
0.569005 0.311834 0	Cardinal-10
0.573508 0.575038 0.0556071	Keener(0.001, +1, norm)(wv)
0.584082 0.0704485 0.0520845	Ext-Minmin(PO)
0.584099 0.0697482 0.0520845	[SDom(wv)],[Ext-Minmin(PO)]
0.585579 0.556746 0.0630811	Eliminate-[Plurality]/fd
0.586295 0.556947 0.0630234	[SDom(wv)],[Eliminate-[Plurality]/fd]
0.616979 0.521191 0.055079	[SDom(wv)],[Keener(0.001, +1, norm)(wv)]
0.640895 0.575295 0.0816673	[SDom(wv)],[AVGEliminate-[Plurality]/fd]
0.64459 0.570795 0.081804	AVGEliminate-[Plurality]/fd
0.646156 0.37115 0.0791639	AVGEliminate-[Antiplurality]/fd
0.64627 0.372053 0.0773405	[SDom(wv)],[AVGEliminate-[Antiplurality]/fd]
0.657868 0.0515287 0.038406	[SDom(wv)],[Keener(0.001, +1, norm)(PO)]
0.658218 0.0509326 0.0385742	Keener(0.001, +1, norm)(PO)
0.676431 0.448552 0.0470319	Nauru Borda
0.676728 0.449172 0.0470077	[SDom(wv)],[Nauru Borda]
0.691432 0.366004 0.0406619	[SDom(wv)],[VMedianOS-10(norm, tiebreak)]
0.692664 0.363984 0.0407169	VMedianOS-10(norm, tiebreak)
0.699047 0.389194 0.0556196	[SDom(wv)],[VoteForAgainst]
0.700196 0.390717 0.0556196	VoteForAgainst
0.754275 0.615846 0.128217	Plurality
0.754306 0.614293 0.127113	[SDom(wv)],[Plurality]
0.827557 0.167221 0.177899	Antiplurality
0.964109 0.358541 0.274527	Random Pair
0.982496 0.441953 0.283779	[SDom(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.996728 0.494074 0.289164	[SDom(wv)],[Gradual-[SDom(wv)](None, ordinal)]
1 0.491051 0.291969	Gradual-[SDom(wv)](None, ordinal)
