0 0.224663 0.259653	[SDom(wv)],[Random Pair]
0.43243 0.43081 0.0258498	[SDom(wv)],[L-R defense/1.5(rel-margins)]
0.432453 0.430754 0.0258498	[SDom(wv)],[Ext-Minmax(rel-margins)]
0.432466 0.430737 0.0258498	[Schwartz(wv)],[Ext-Minmax(fwv)]
0.432467 0.430769 0.0258498	[SDom(wv)],[L-R defense/2.25(rel-margins)]
0.432473 0.430845 0.0258498	[Schwartz(wv)],[L-R defense/1.75(rel-margins)]
0.432474 0.430591 0.0258498	L-R defense/2.25(rel-margins)
0.432479 0.430709 0.0258498	[Schwartz(wv)],[L-R defense/2.25(rel-margins)]
0.432486 0.43065 0.0258498	[SDom(wv)],[L-R defense/2(rel-margins)]
0.432487 0.430397 0.0258498	[Schwartz(wv)],[L-R defense/2(rel-margins)]
0.432505 0.430632 0.0258498	L-R defense/2(rel-margins)
0.432518 0.431078 0.0258498	[SDom(wv)],[L-R defense/1.25(rel-margins)]
0.43253 0.430556 0.0258498	L-R defense/1.5(rel-margins)
0.432531 0.430775 0.0258498	Ext-Minmax(rel-margins)
0.432546 0.409926 0.0230864	[MDD(sum)(wv)],[ODM-arctan(0.001)(rel-margins)]
0.432553 0.430796 0.0258498	[Schwartz(wv)],[Ext-Minmax(rel-margins)]
0.432581 0.43071 0.0258498	[SDom(wv)],[L-R defense/1.75(rel-margins)]
0.432629 0.43101 0.0258498	L-R defense/1.25(rel-margins)
0.432752 0.43113 0.0258498	[Schwartz(wv)],[L-R defense/1.25(rel-margins)]
0.433463 0.431015 0.0256366	L-R defense/1(rel-margins)
0.433533 0.430876 0.0256366	[Schwartz(wv)],[L-R defense/1(rel-margins)]
0.433732 0.430694 0.0254422	[Schwartz(wv)],[L-R defense/0.75(rel-margins)]
0.433765 0.43064 0.0256366	[SDom(wv)],[L-R defense/1(rel-margins)]
0.433917 0.404116 0.0196703	[Schwartz(wv)],[Ext-Minmax(PO)]
0.433932 0.404184 0.0196703	[SDom(wv)],[Ext-Minmax(wv)]
0.433971 0.404119 0.0196703	Ext-Minmax(wv)
0.434027 0.403974 0.0196703	[SDom(wv)],[Ext-Minmax(PO)]
0.434031 0.404065 0.0196703	Ext-Minmax(PO)
0.434033 0.404036 0.0196703	[Schwartz(wv)],[Ext-Minmax(wv)]
0.43407 0.430805 0.0254422	[SDom(wv)],[L-R defense/0.75(rel-margins)]
0.434159 0.430874 0.0254422	L-R defense/0.75(rel-margins)
0.43475 0.468966 0.0398187	[Schwartz(wv)],[2. order Copeland]
0.434794 0.468961 0.0398187	2. order Copeland
0.434797 0.468883 0.0398187	[Schwartz(wv)],[2. order Copeland]
0.434799 0.468901 0.0398187	2. order Copeland
0.43481 0.46897 0.0398187	2. order Copeland
0.434819 0.468984 0.0398187	[Schwartz(wv)],[2. order Copeland]
0.434824 0.468973 0.0398187	[SDom(wv)],[2. order Copeland]
0.434835 0.469101 0.0398187	[SDom(wv)],[2. order Copeland]
0.434863 0.468773 0.0398187	[SDom(wv)],[2. order Copeland]
0.434868 0.469031 0.0398187	[Schwartz(wv)],[2. order Copeland]
0.434874 0.469099 0.0398187	2. order Copeland
0.434892 0.468954 0.0398187	[SDom(wv)],[2. order Copeland]
0.434894 0.468987 0.0398187	2. order Copeland
0.434917 0.469031 0.0398187	[Schwartz(wv)],[2. order Copeland]
0.434971 0.468989 0.0398187	[SDom(wv)],[2. order Copeland]
