0 0.356108 0.204651	Gradual-[SDom(wv)](None, ordinal)
0.658826 0.337015 0.0272333	[MDD(sum)(wv)],[Eliminate-[NREM-Opt]/fd]
0.65909 0.336624 0.0272596	[MDD(sum)(wv)],[Eliminate-[Borda]/fd]
0.660444 0.351484 0.0245769	[MDD(sum)(wv)],[AVGEliminate-[Antiplurality]/fd]
0.660626 0.340677 0.0259508	[MDD(sum)(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.661067 0.348885 0.0242442	[MDD(sum)(wv)],[Mode-Ratings]
0.661786 0.346066 0.0253518	[MDD(sum)(wv)],[Eliminate-[Antiplurality]/fd]
0.662901 0.35569 0.0241867	[SDom(wv)],[Keener(0.001, +1, norm)(wv)]
0.662903 0.355691 0.0241867	Keener(0.001, +1, norm)(wv)
0.664103 0.332261 0.028871	[MDD(sum)(wv)],[Eliminate-[Nauru Borda]/fd]
0.665008 0.338357 0.0285659	[MDD(sum)(wv)],[AVGEliminate-[Plurality]/fd]
0.665823 0.332077 0.0297351	[MDD(sum)(wv)],[Eliminate-[Plurality]/fd]
0.666352 0.336335 0.0303095	Eliminate-[NREM-Opt]/fd
0.666371 0.336341 0.0303095	[SDom(wv)],[Eliminate-[NREM-Opt]/fd]
0.666614 0.335972 0.0302061	Eliminate-[Borda]/fd
0.666614 0.336093 0.0302061	[SDom(wv)],[Eliminate-[Borda]/fd]
0.666953 0.507112 1.72311e-05	[SDom(wv)],[Cardinal-10]
0.667503 0.507408 0	Cardinal-10
0.668041 0.337209 0.0303171	[SDom(wv)],[Eliminate-[VoteForAgainst]/fd]
0.668101 0.337265 0.0303171	Eliminate-[VoteForAgainst]/fd
0.668229 0.33308 0.031627	[MDD(sum)(wv)],[Random Pair]
0.669164 0.357242 0.026595	[SDom(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.669174 0.357095 0.026595	AVGEliminate-[VoteForAgainst]/fd
0.669244 0.330912 0.0316832	[MDD(sum)(wv)],[Ranked Pairs(tourn-wv)]
0.676114 0.337803 0.0349267	[SDom(wv)],[Ranked Pairs(tourn-wv)]
0.67615 0.337682 0.0349267	Ranked Pairs(tourn-wv)
0.700536 0.329149 0.0353137	Eliminate-[Nauru Borda]/fd
0.700603 0.329153 0.0353137	[SDom(wv)],[Eliminate-[Nauru Borda]/fd]
0.707489 0.343209 0.0316338	AVGEliminate-[Nauru Borda]/fd
0.707617 0.343245 0.0316338	[SDom(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.708319 0.50952 0.0270719	[SDom(wv)],[VoteForAgainst]
0.708335 0.509235 0.0270719	VoteForAgainst
0.717154 0.369028 0.036343	[SDom(wv)],[Eliminate-[Antiplurality]/fd]
0.717238 0.368839 0.036343	Eliminate-[Antiplurality]/fd
0.737853 0.427159 0.0416775	[SDom(wv)],[AVGEliminate-[Antiplurality]/fd]
0.73832 0.427341 0.0421853	AVGEliminate-[Antiplurality]/fd
0.783808 0.506324 0.0344833	[SDom(wv)],[VMedianOS-10(norm, tiebreak)]
0.784024 0.507666 0.0345327	VMedianOS-10(norm, tiebreak)
0.790769 0.445813 0.0362725	[SDom(wv)],[Nauru Borda]
0.808564 0.334945 0.0550823	[SDom(wv)],[AVGEliminate-[Plurality]/fd]
0.809076 0.334434 0.0551918	AVGEliminate-[Plurality]/fd
0.813347 0.546094 0.0375879	VMedianOS-10(tiebreak)
0.946269 0.428681 0.0968488	[SDom(wv)],[Plurality]
0.950547 0.43163 0.100305	Plurality
1 0.377547 0.0993442	[SDom(wv)],[Mode-Ratings]
