0 0.356108 0.204651	Gradual-[SDom(wv)](None, ordinal)
0.614077 0.297491 0.030269	[MDD(sum)(wv)],[L-R defense/0.75(tourn-wv)]
0.614077 0.297491 0.030269	[MDD(sum)(wv)],[L-R defense/1.75(tourn-wv)]
0.614077 0.297491 0.030269	[MDD(sum)(wv)],[L-R defense/2.25(tourn-wv)]
0.614077 0.297491 0.030269	[SDom(wv)],[Dodgson-Quick(tourn-wv)]
0.614077 0.297492 0.030269	L-R defense/1.5(tourn-wv)
0.614077 0.297492 0.030269	[MDD(sum)(wv)],[Copeland]
0.614077 0.297492 0.030269	[MDD(sum)(wv)],[Ext-Minmin(tourn-wv)]
0.614077 0.297492 0.030269	[MDD(sum)(wv)],[L-R defense/1.25(tourn-wv)]
0.614077 0.297492 0.030269	[MDD(sum)(wv)],[L-R offense/0.75(tourn-wv)]
0.614077 0.297492 0.030269	[SDom(wv)],[Ext-Minmax(tourn-wv)]
0.614077 0.297492 0.030269	[SDom(wv)],[L-R defense/0.5(tourn-wv)]
0.614077 0.297493 0.030269	L-R both/1(tourn-wv)
0.614077 0.297493 0.030269	L-R both/2.25(tourn-wv)
0.614077 0.297493 0.030269	L-R defense/1.75(tourn-wv)
0.614077 0.297493 0.030269	L-R offense/1.5(tourn-wv)
0.614077 0.297493 0.030269	[MDD(sum)(wv)],[L-R both/0.5(tourn-wv)]
0.614077 0.297493 0.030269	[SDom(wv)],[Dodgson-Quick(rel-margins)]
0.614077 0.297494 0.030269	Copeland
0.614077 0.297494 0.030269	[SDom(wv)],[Copeland]
0.614078 0.297485 0.030269	Copeland
0.614078 0.297486 0.030269	[MDD(sum)(wv)],[L-R defense/1.5(tourn-wv)]
0.614078 0.297486 0.030269	[MDD(sum)(wv)],[L-R defense/1(tourn-wv)]
0.614078 0.297486 0.030269	[MDD(sum)(wv)],[L-R offense/1.75(tourn-wv)]
0.614078 0.297486 0.030269	[SDom(wv)],[L-R both/2(tourn-wv)]
0.614078 0.297487 0.030269	[MDD(sum)(wv)],[L-R both/2.25(tourn-wv)]
0.614078 0.297487 0.030269	[MDD(sum)(wv)],[L-R offense/0.5(tourn-wv)]
0.614078 0.297487 0.030269	[SDom(wv)],[L-R defense/0.25(tourn-wv)]
0.614078 0.297487 0.030269	[SDom(wv)],[L-R defense/1.25(tourn-wv)]
0.614078 0.297488 0.030269	L-R offense/0.25(tourn-wv)
0.614078 0.297488 0.030269	[MDD(sum)(wv)],[L-R both/1.25(tourn-wv)]
0.614078 0.297489 0.030269	L-R both/0.5(tourn-wv)
0.614078 0.297489 0.030269	L-R both/1.5(tourn-wv)
0.614078 0.297489 0.030269	[MDD(sum)(wv)],[L-R offense/1.25(tourn-wv)]
0.614078 0.297489 0.030269	[SDom(wv)],[Copeland]
