0 0.451169 	Gradual-[CGTT(wv)](None, cardinal)
0.654237 0.765415 	Maximin(PO)
0.654342 0.765642 	Minmax(w/tv)
0.654961 0.538047 	[Schwartz(wv)],[VMedianOS-10(tiebreak)]
0.656186 0.594505 	[CDTT(wv)],[Ext-Minmin(PO)]
0.656409 0.594566 	[Schwartz(wv)],[Ext-Minmin(PO)]
0.65645 0.596209 	[CGTT(wv)],[Ext-Minmin(PO)]
0.656496 0.581943 	[Smith(wv)],[Ext-Minmax(PO)]
0.656601 0.53972 	[CDTT(wv)],[VMedianOS-10(tiebreak)]
0.656623 0.598583 	[CDTT(wv)],[Ext-Minmin(keener)]
0.657051 0.596522 	[CGTT(wv)],[Ext-Minmin(keener)]
0.657301 0.770194 	[SDom(wv)],[Minmax(w/tv)]
0.657673 0.769167 	[SDom(wv)],[Maximin(keener)]
0.657837 0.58645 	[Smith(wv)],[Ext-Minmax(wv)]
0.657845 0.770435 	[SDom(wv)],[Minmax(keener)]
0.657845 0.770558 	[SDom(wv)],[Minmax(rel-margins)]
0.657863 0.538596 	[CGTT(wv)],[VMedianOS-10(tiebreak)]
0.658003 0.769293 	[SDom(wv)],[Minmax(wv)]
0.658033 0.586462 	[Smith(wv)],[Ext-Minmax(keener)]
0.658053 0.770594 	[SDom(wv)],[Minmax(PO)]
0.65819 0.537312 	[Schwartz(wv)],[VMedianOS-10(norm, tiebreak)]
0.658229 0.586401 	[Smith(wv)],[Ext-Minmax(w/tv)]
0.658265 0.585045 	[Smith(wv)],[Ext-Minmax(rel-margins)]
0.658555 0.689644 	[Condorcet],[Ext-Minmax(fwv)]
0.658575 0.770407 	[SDom(wv)],[Maximin(PO)]
0.658607 0.589102 	[Smith(wv)],[Ext-Minmax(fwv)]
0.659039 0.537613 	[CDTT(wv)],[VMedianOS-10(norm, tiebreak)]
0.659113 0.600882 	[Schwartz(wv)],[Ext-Minmin(keener)]
0.659184 0.539369 	[CGTT(wv)],[VMedianOS-10(norm, tiebreak)]
0.659219 0.769185 	[SDom(wv)],[Minmax(fwv)]
0.65951 0.689836 	[Condorcet],[Ext-Minmax(PO)]
0.659619 0.688753 	[Condorcet],[Ext-Minmax(w/tv)]
0.65969 0.688895 	[Condorcet],[Ext-Minmax(rel-margins)]
0.660726 0.690748 	[Condorcet],[Ext-Minmax(keener)]
0.660817 0.578049 	[Schwartz(wv)],[Ext-Minmax(wv)]
0.660851 0.689314 	[Condorcet],[Ext-Minmax(wv)]
0.660979 0.572331 	[CGTT(wv)],[Ext-Minmax(w/tv)]
0.661134 0.574836 	[Schwartz(wv)],[Ext-Minmax(w/tv)]
0.661179 0.573164 	[CGTT(wv)],[Ext-Minmax(rel-margins)]
0.661198 0.573059 	[CDTT(wv)],[Ext-Minmax(fwv)]
0.661336 0.572531 	[CDTT(wv)],[Ext-Minmax(rel-margins)]
0.661364 0.57178 	[Schwartz(wv)],[Ext-Minmax(fwv)]
0.661365 0.572318 	[Schwartz(wv)],[Ext-Minmax(rel-margins)]
0.661574 0.573652 	[CGTT(wv)],[Ext-Minmax(fwv)]
0.661594 0.578019 	[Schwartz(wv)],[Ext-Minmax(keener)]
0.661637 0.5719 	[CDTT(wv)],[Ext-Minmax(w/tv)]
0.661722 0.578252 	[CDTT(wv)],[Ext-Minmax(PO)]
0.66192 0.578675 	[CDTT(wv)],[Ext-Minmax(keener)]
0.661925 0.578013 	[Schwartz(wv)],[Ext-Minmax(PO)]
0.661958 0.577565 	[CGTT(wv)],[Ext-Minmax(PO)]
0.662103 0.578682 	[CDTT(wv)],[Ext-Minmax(wv)]
0.662329 0.578171 	[CGTT(wv)],[Ext-Minmax(keener)]
0.662381 0.577937 	[CGTT(wv)],[Ext-Minmax(wv)]
0.663957 0.639681 	[Condorcet],[HITS(0.001)(rel-margins)]
0.664393 0.645841 	[Condorcet],[L-R offense/2(rel-margins)]
0.664844 0.380317 	[CGTT(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.665808 0.614176 	[Smith(wv)],[L-R offense/2.25(rel-margins)]
0.665965 0.380343 	[CDTT(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.668188 0.333217 	[Smith(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.669081 0.380782 	[Schwartz(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.669125 0.517233 	[CGTT(wv)],[Schulze(fwv)]
0.669125 0.517372 	[CGTT(wv)],[Schulze(keener)]
0.669266 0.517754 	[CGTT(wv)],[Schulze(PO)]
0.669267 0.517365 	[CDTT(wv)],[Schulze(PO)]
0.669298 0.517443 	[CDTT(wv)],[Schulze(keener)]
0.669315 0.516698 	[Schwartz(wv)],[Schulze(wv)]
0.669426 0.517639 	[CDTT(wv)],[Schulze(rel-margins)]
0.669453 0.640704 	[Condorcet],[L-R offense/1.75(rel-margins)]
0.669493 0.517368 	[Schwartz(wv)],[Schulze(fwv)]
0.669597 0.517503 	[CDTT(wv)],[Schulze(fwv)]
0.669606 0.516838 	[CGTT(wv)],[Schulze(w/tv)]
0.669611 0.513267 	[Condorcet],[Schulze(rel-margins)]
0.669678 0.513006 	Schulze(w/tv)
0.669681 0.512506 	Schulze(fwv)
0.669728 0.517304 	[CGTT(wv)],[Schulze(rel-margins)]
0.669735 0.513765 	[Smith(wv)],[Schulze(wv)]
0.669819 0.518082 	[CDTT(wv)],[Schulze(wv)]
0.669855 0.51356 	[Condorcet],[Schulze(wv)]
0.669883 0.513361 	[Smith(wv)],[Schulze(fwv)]
0.669889 0.513178 	Schulze(PO)
0.669903 0.51759 	[Schwartz(wv)],[Schulze(rel-margins)]
0.669915 0.512949 	Schulze(wv)
0.669965 0.517507 	[CDTT(wv)],[Schulze(w/tv)]
0.669976 0.513474 	[Smith(wv)],[Schulze(w/tv)]
0.669996 0.516927 	[Schwartz(wv)],[Schulze(w/tv)]
0.670002 0.51302 	Schulze(keener)
0.670038 0.513539 	[Condorcet],[Schulze(w/tv)]
0.670041 0.517153 	[Schwartz(wv)],[Schulze(PO)]
0.670051 0.517866 	[Schwartz(wv)],[Schulze(keener)]
0.670095 0.513125 	[Condorcet],[Schulze(keener)]
0.67013 0.513522 	[Smith(wv)],[Schulze(keener)]
0.670141 0.513296 	[Smith(wv)],[Schulze(rel-margins)]
0.670148 0.518081 	[CGTT(wv)],[Schulze(wv)]
0.670281 0.513296 	[Condorcet],[Schulze(PO)]
0.670389 0.513372 	[Smith(wv)],[Schulze(PO)]
0.670413 0.514054 	Schulze(rel-margins)
0.670589 0.513339 	[Condorcet],[Schulze(fwv)]
0.67177 0.528859 	[Schwartz(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.672638 0.611582 	[Smith(wv)],[L-R offense/2(rel-margins)]
0.672861 0.525483 	[Schwartz(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.672946 0.52632 	[Smith(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
