0 0.451169 	Gradual-[CGTT(wv)](None, cardinal)
0.734382 0.582117 	[CDTT(wv)],[Sinkhorn(0.001, +1)(rel-margins)]
0.734467 0.398018 	[CDTT(wv)],[Antiplurality]
0.734484 0.581512 	[Schwartz(wv)],[L-R offense/0.25(PO)]
0.734529 0.588048 	[Smith(wv)],[L-R both/1.75(PO)]
0.734752 0.649112 	L-R defense/0.25(PO)
0.734813 0.613182 	[Condorcet],[L-R offense/1.75(PO)]
0.734868 0.616252 	[Condorcet],[L-R offense/1.25(PO)]
0.734952 0.566085 	[Smith(wv)],[L-R defense/0.5(rel-margins)]
0.734965 0.616681 	[Condorcet],[L-R both/2(PO)]
0.735016 0.643232 	HITS(0.001)(PO)
0.7351 0.588617 	[Smith(wv)],[L-R offense/0.25(PO)]
0.73518 0.617296 	[Condorcet],[L-R offense/1(PO)]
0.735234 0.617402 	[Condorcet],[L-R defense/0.75(PO)]
0.735264 0.620971 	[Condorcet],[L-R offense/2.25(PO)]
0.735338 0.587772 	[Smith(wv)],[L-R defense/2(PO)]
0.73537 0.582055 	[CGTT(wv)],[L-R defense/2(PO)]
0.735403 0.588862 	[Smith(wv)],[L-R defense/1.75(PO)]
0.735423 0.582153 	[CDTT(wv)],[L-R defense/2(PO)]
0.73547 0.617227 	[Condorcet],[L-R both/1(rel-margins)]
0.735501 0.582643 	[Schwartz(wv)],[L-R defense/2(PO)]
0.735505 0.582307 	[CGTT(wv)],[L-R defense/2.25(PO)]
0.735535 0.616153 	[Condorcet],[L-R defense/1.25(PO)]
0.735611 0.617182 	[Condorcet],[L-R defense/1(PO)]
0.735623 0.647054 	L-R defense/0.5(PO)
0.73565 0.637243 	L-R offense/1.75(PO)
0.73568 0.548795 	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.735682 0.582388 	[Schwartz(wv)],[L-R defense/2.25(PO)]
0.735682 0.620656 	[Condorcet],[L-R both/2.25(PO)]
0.735694 0.580558 	[CGTT(wv)],[Keener(0.001, +1, raw)(PO)]
0.735806 0.658007 	L-R both/1.25(rel-margins)
0.735853 0.618563 	[Condorcet],[L-R defense/0.5(PO)]
0.735867 0.639126 	L-R offense/1.5(PO)
0.735868 0.565463 	[CGTT(wv)],[L-R defense/0.5(rel-margins)]
0.7359 0.582112 	[CDTT(wv)],[L-R defense/2.25(PO)]
0.735912 0.397023 	[CGTT(wv)],[Antiplurality]
0.735915 0.580326 	[CDTT(wv)],[Keener(0.001, +1, raw)(PO)]
0.735967 0.619443 	[Condorcet],[L-R both/0.5(PO)]
0.736031 0.742369 	L-R offense/2.25(rel-margins)
0.736077 0.620182 	[Condorcet],[L-R both/0.25(PO)]
0.736103 0.566082 	[CDTT(wv)],[L-R defense/0.5(rel-margins)]
0.73613 0.64215 	L-R defense/0.75(PO)
0.736207 0.565772 	[Schwartz(wv)],[L-R defense/0.5(rel-margins)]
0.736239 0.618032 	[Condorcet],[L-R offense/0.75(PO)]
0.736262 0.620392 	[Condorcet],[L-R offense/0.5(PO)]
0.73627 0.542827 	[MDD(sum)(wv)],[Ranked Pairs(wv)]
0.736325 0.62007 	[Condorcet],[ODM(0.001)(PO)]
0.736327 0.580797 	[Schwartz(wv)],[Keener(0.001, +1, raw)(PO)]
0.736465 0.620942 	[Condorcet],[Sinkhorn(0.001, +1)(PO)]
0.736519 0.540607 	[MDD(sum)(wv)],[Ranked Pairs(w/tv)]
0.736544 0.615154 	[Condorcet],[L-R defense/1.75(PO)]
0.736548 0.587896 	[Smith(wv)],[L-R defense/2.25(PO)]
0.736674 0.544879 	[MDD(sum)(wv)],[Plurality]
0.73668 0.644623 	L-R offense/2(PO)
0.736688 0.542448 	[MDD(sum)(wv)],[Ranked Pairs(rel-margins)]
0.736786 0.701252 	L-R both/2(rel-margins)
0.73691 0.615545 	[Condorcet],[L-R both/1.5(PO)]
0.736919 0.69227 	L-R both/1.75(rel-margins)
0.736979 0.633689 	Sinkhorn(0.001, +1)(rel-margins)
0.737017 0.61614 	[Condorcet],[L-R both/1.25(PO)]
0.737023 0.615887 	[Condorcet],[L-R both/1.75(PO)]
0.73703 0.640447 	L-R both/1(rel-margins)
0.737088 0.675136 	L-R both/1.5(rel-margins)
0.737136 0.541452 	[MDD(sum)(wv)],[Ranked Pairs(fwv)]
0.737149 0.61591 	[Condorcet],[ODM-arctan(0.001)(PO)]
0.737149 0.618238 	[Condorcet],[L-R defense/1.5(PO)]
0.737221 0.614003 	[Condorcet],[Sinkhorn(0.001, +1)(rel-margins)]
0.737509 0.641416 	L-R offense/1(PO)
0.737616 0.615755 	[Condorcet],[Keener(0.001, +1, norm)(rel-margins)]
0.737626 0.587315 	[Smith(wv)],[Keener(0.001, +1, raw)(PO)]
0.737778 0.641569 	L-R defense/1(PO)
0.737786 0.39876 	[Schwartz(wv)],[Antiplurality]
0.737797 0.6413 	L-R both/1(PO)
0.737803 0.528042 	[MDD(sum)(wv)],[HITS(0.001)(tourn-wv)]
0.737837 0.641347 	L-R both/2(PO)
0.737841 0.639812 	L-R offense/1.25(PO)
0.737891 0.637844 	L-R both/1.5(PO)
0.737957 0.644606 	L-R both/2.25(PO)
0.738041 0.638845 	L-R defense/1.5(PO)
0.738117 0.647691 	L-R both/0.25(PO)
0.738137 0.622183 	[Condorcet],[L-R offense/0.25(PO)]
0.738176 0.641494 	Borda
0.73826 0.582155 	[Schwartz(wv)],[NREM-Opt]
0.738316 0.581946 	[CDTT(wv)],[NREM-Opt]
0.738318 0.638344 	L-R defense/1.25(PO)
0.738583 0.540681 	[MDD(sum)(wv)],[Ranked Pairs(PO)]
0.738589 0.582046 	[CGTT(wv)],[NREM-Opt]
0.738623 0.645073 	L-R both/0.75(PO)
0.738884 0.541221 	[MDD(sum)(wv)],[Ranked Pairs(keener)]
0.739091 0.631005 	AVGEliminate-[NREM-Opt]/fd
0.739155 0.541584 	[MDD(sum)(wv)],[Schulze(wv)]
0.739237 0.639542 	L-R offense/0.75(PO)
0.739355 0.646267 	Sinkhorn(0.001, +1)(PO)
0.739402 0.634628 	L-R defense/1.75(PO)
0.739423 0.638182 	L-R both/1.25(PO)
0.739565 0.638237 	L-R both/1.75(PO)
0.739596 0.618411 	[Condorcet],[Dodgson-Quick(PO)]
0.739598 0.542417 	[MDD(sum)(wv)],[Schulze(w/tv)]
0.739649 0.645546 	ODM(0.001)(PO)
0.739676 0.645458 	L-R both/0.5(PO)
0.73969 0.54235 	[MDD(sum)(wv)],[Schulze(fwv)]
0.739843 0.539524 	[MDD(sum)(wv)],[VMedianOS-10(norm)]
0.739913 0.534847 	[MDD(sum)(wv)],[L-R defense/2(tourn-wv)]
0.739919 0.534904 	[MDD(sum)(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.739931 0.534943 	[Smith(wv)],[L-R defense/1(tourn-wv)]
0.739937 0.53485 	L-R defense/2(tourn-wv)
0.739942 0.534906 	[Condorcet],[L-R defense/0.25(tourn-wv)]
0.739944 0.534936 	[Smith(wv)],[L-R defense/0.5(tourn-wv)]
0.739946 0.534976 	[Condorcet],[Dodgson-Quick(fwv)]
0.739948 0.534993 	[Smith(wv)],[L-R defense/2(tourn-wv)]
0.739952 0.534899 	[Condorcet],[Dodgson-Quick(rel-margins)]
0.739954 0.534865 	[Condorcet],[L-R defense/2(tourn-wv)]
0.739954 0.534986 	[Condorcet],[L-R defense/1(tourn-wv)]
0.739956 0.534895 	[MDD(sum)(wv)],[Ext-Minmin(tourn-wv)]
0.73996 0.534967 	[MDD(sum)(wv)],[Ext-Minmax(tourn-wv)]
0.739962 0.534906 	Dodgson-Quick(rel-margins)
0.739965 0.534921 	[MDD(sum)(wv)],[L-R defense/0.75(tourn-wv)]
0.739965 0.534985 	L-R defense/0.5(tourn-wv)
0.739967 0.534915 	[MDD(sum)(wv)],[Dodgson-Quick(tourn-wv)]
0.739969 0.53505 	Dodgson-Quick(fwv)
0.739969 0.535074 	[MDD(sum)(wv)],[L-R defense/1.25(tourn-wv)]
0.739977 0.534928 	[MDD(sum)(wv)],[L-R defense/1.5(tourn-wv)]
0.73998 0.535021 	L-R defense/0.75(tourn-wv)
0.739981 0.534847 	Ext-Minmax(tourn-wv)
0.739982 0.534992 	[MDD(sum)(wv)],[L-R defense/0.5(tourn-wv)]
0.739988 0.53485 	[Smith(wv)],[L-R defense/1.5(tourn-wv)]
0.739989 0.535014 	[Condorcet],[L-R defense/1.75(tourn-wv)]
0.739994 0.535123 	[Condorcet],[Dodgson-Quick(tourn-wv)]
0.739996 0.535157 	[Smith(wv)],[L-R defense/1.25(tourn-wv)]
0.74 0.535187 	[MDD(sum)(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.740001 0.535178 	[Condorcet],[L-R defense/0.5(tourn-wv)]
0.740004 0.534854 	Dodgson-Quick(tourn-wv)
0.740004 0.535082 	[MDD(sum)(wv)],[Dodgson-Quick(keener)]
0.740007 0.534906 	[MDD(sum)(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.740007 0.534983 	[MDD(sum)(wv)],[Dodgson-Quick(rel-margins)]
0.740007 0.535128 	[MDD(sum)(wv)],[L-R defense/1.75(tourn-wv)]
0.740009 0.535195 	[MDD(sum)(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.740012 0.535093 	[Condorcet],[L-R defense/0.75(tourn-wv)]
0.740013 0.535044 	[Smith(wv)],[L-R defense/0.25(tourn-wv)]
0.740014 0.534953 	[MDD(sum)(wv)],[L-R defense/1(tourn-wv)]
0.740014 0.535186 	L-R defense/2.25(tourn-wv)
0.740016 0.535064 	[Condorcet],[L-R defense/1.5(tourn-wv)]
0.740017 0.534901 	[Smith(wv)],[L-R defense/1.75(tourn-wv)]
0.740018 0.535021 	[MDD(sum)(wv)],[L-R defense/2.25(tourn-wv)]
0.740019 0.534975 	[MDD(sum)(wv)],[Minmax(tourn-wv)]
0.740019 0.535025 	L-R defense/1.5(tourn-wv)
0.74002 0.535135 	[Smith(wv)],[Dodgson-Quick(fwv)]
0.740022 0.535096 	[Condorcet],[L-R defense/2.25(tourn-wv)]
0.740023 0.53496 	[MDD(sum)(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.740025 0.620085 	[Condorcet],[Keener(0.001, +1, raw)(PO)]
0.740026 0.534983 	[Smith(wv)],[Ext-Minmin(tourn-wv)]
0.740027 0.535114 	[MDD(sum)(wv)],[Maximin(tourn-wv)]
0.740028 0.534977 	L-R defense/0.25(tourn-wv)
0.74003 0.535048 	[Condorcet],[L-R defense/1.25(tourn-wv)]
0.740034 0.53496 	[Smith(wv)],[Dodgson-Quick(rel-margins)]
0.740039 0.535048 	[MDD(sum)(wv)],[Dodgson-Quick(fwv)]
0.74004 0.53517 	[MDD(sum)(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.740042 0.535149 	[Condorcet],[Ext-Minmax(tourn-wv)]
0.740046 0.535118 	[Smith(wv)],[L-R defense/0.75(tourn-wv)]
0.740047 0.535027 	[MDD(sum)(wv)],[L-R defense/0.25(tourn-wv)]
0.740048 0.535154 	L-R defense/1.75(tourn-wv)
0.740051 0.535108 	L-R defense/1.25(tourn-wv)
0.74007 0.535074 	[Condorcet],[Ext-Minmin(tourn-wv)]
0.740071 0.53517 	Ext-Minmin(tourn-wv)
0.740083 0.535159 	[Smith(wv)],[L-R defense/2.25(tourn-wv)]
0.740088 0.535177 	L-R defense/1(tourn-wv)
0.740092 0.535152 	[Smith(wv)],[Dodgson-Quick(tourn-wv)]
0.740093 0.535191 	[Smith(wv)],[Ext-Minmax(tourn-wv)]
0.740106 0.646891 	L-R offense/2.25(PO)
0.740176 0.540057 	[MDD(sum)(wv)],[Maximin(fwv)]
0.740281 0.639599 	Keener(0.001, +1, norm)(rel-margins)
0.740372 0.616857 	[Condorcet],[L-R defense/2(PO)]
0.740399 0.719526 	L-R both/2.25(rel-margins)
0.740408 0.540989 	[MDD(sum)(wv)],[Maximin(rel-margins)]
0.740492 0.541675 	[MDD(sum)(wv)],[VMedianOS-10()]
0.740526 0.540426 	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.740535 0.590763 	[Smith(wv)],[NREM-Opt]
0.740723 0.542633 	[MDD(sum)(wv)],[Schulze(PO)]
0.740762 0.543443 	[MDD(sum)(wv)],[Gradual-[Condorcet](None, cardinal)]
0.740763 0.541616 	[MDD(sum)(wv)],[Schulze(keener)]
0.740766 0.54069 	[MDD(sum)(wv)],[Maximin(wv)]
0.740774 0.620232 	[Condorcet],[L-R defense/2.25(PO)]
0.740795 0.443235 	[Smith(wv)],[Eliminate-[VoteForAgainst]/fd]
0.740965 0.541615 	[MDD(sum)(wv)],[Schulze(rel-margins)]
0.741261 0.639637 	ODM-arctan(0.001)(PO)
0.741333 0.535659 	[MDD(sum)(wv)],[Schulze(tourn-wv)]
0.741426 0.550934 	[MDD(sum)(wv)],[Ext-Minmax(PO)]
0.741458 0.637643 	L-R defense/2(PO)
0.741677 0.551683 	[MDD(sum)(wv)],[Ext-Minmax(keener)]
0.741721 0.523366 	[Condorcet],[L-R offense/1.5(tourn-wv)]
0.741979 0.523526 	[Smith(wv)],[Copeland]
0.741993 0.523581 	L-R offense/1(tourn-wv)
0.742025 0.523316 	[Smith(wv)],[Copeland]
0.742045 0.577676 	[CGTT(wv)],[L-R both/0.75(rel-margins)]
0.74208 0.523428 	[Smith(wv)],[Copeland]
0.742123 0.522973 	[Condorcet],[L-R offense/1.75(tourn-wv)]
0.742124 0.523124 	L-R offense/1.25(tourn-wv)
0.742135 0.523598 	Copeland
0.742166 0.523264 	L-R offense/0.5(tourn-wv)
0.742169 0.523498 	[Condorcet],[L-R offense/2.25(tourn-wv)]
0.742213 0.549291 	[MDD(sum)(wv)],[Minmax(fwv)]
0.742216 0.523312 	[Condorcet],[Copeland]
0.742223 0.523051 	[Smith(wv)],[Copeland]
0.742227 0.52284 	Copeland
0.742237 0.523396 	[Condorcet],[L-R offense/2(tourn-wv)]
0.74231 0.52334 	[Condorcet],[Copeland]
0.742341 0.64097 	L-R defense/2.25(PO)
0.742346 0.52341 	[Smith(wv)],[L-R offense/0.5(tourn-wv)]
0.74235 0.577925 	[Schwartz(wv)],[L-R both/0.75(rel-margins)]
0.742352 0.523375 	Copeland
0.742362 0.52323 	[Condorcet],[Copeland]
0.742365 0.523551 	[Condorcet],[L-R offense/0.5(tourn-wv)]
0.742367 0.52301 	[Smith(wv)],[Copeland]
0.742404 0.523543 	[Smith(wv)],[L-R offense/0.25(tourn-wv)]
0.742422 0.536406 	[CDTT(wv)],[L-R defense/2(tourn-wv)]
0.742447 0.523745 	[Condorcet],[Copeland]
0.74245 0.536376 	[CDTT(wv)],[L-R defense/1.75(tourn-wv)]
0.742456 0.523972 	Copeland
0.742459 0.549031 	[MDD(sum)(wv)],[Minmax(rel-margins)]
0.74246 0.542503 	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.742473 0.523627 	[Condorcet],[L-R offense/1.25(tourn-wv)]
0.742491 0.523296 	L-R offense/2.25(tourn-wv)
0.742501 0.536554 	[CDTT(wv)],[L-R defense/1.5(tourn-wv)]
0.742502 0.536186 	[CDTT(wv)],[L-R defense/0.25(tourn-wv)]
0.742514 0.536453 	[CDTT(wv)],[Dodgson-Quick(tourn-wv)]
0.742514 0.538127 	[MDD(sum)(wv)],[Gradual-[Condorcet](None, ordinal)]
0.74253 0.536267 	[Schwartz(wv)],[L-R defense/1(tourn-wv)]
0.742537 0.523296 	[Condorcet],[L-R offense/1(tourn-wv)]
0.742537 0.549293 	[MDD(sum)(wv)],[Minmax(wv)]
0.74254 0.543618 	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.742545 0.536044 	[Schwartz(wv)],[L-R defense/0.5(tourn-wv)]
0.742547 0.523476 	[Smith(wv)],[L-R offense/1.75(tourn-wv)]
0.742547 0.523642 	L-R offense/0.25(tourn-wv)
0.742552 0.549053 	[MDD(sum)(wv)],[Minmax(PO)]
0.742554 0.53635 	[CGTT(wv)],[L-R defense/1.75(tourn-wv)]
0.742555 0.581463 	[Smith(wv)],[L-R both/0.75(rel-margins)]
0.742562 0.523695 	[Condorcet],[L-R offense/0.75(tourn-wv)]
0.742564 0.536471 	[CDTT(wv)],[Ext-Minmin(tourn-wv)]
0.742567 0.523307 	[Condorcet],[Copeland]
0.742578 0.536337 	[CGTT(wv)],[Dodgson-Quick(tourn-wv)]
0.742582 0.536169 	[CGTT(wv)],[L-R defense/1.5(tourn-wv)]
0.742596 0.524071 	Copeland
0.742604 0.536542 	[Schwartz(wv)],[L-R defense/1.25(tourn-wv)]
0.742607 0.536463 	[CGTT(wv)],[Ext-Minmin(tourn-wv)]
0.742614 0.536684 	[CDTT(wv)],[L-R defense/1(tourn-wv)]
0.742615 0.536611 	[CGTT(wv)],[Ext-Minmax(tourn-wv)]
0.742616 0.536077 	[Schwartz(wv)],[L-R defense/0.25(tourn-wv)]
0.742628 0.536133 	[Schwartz(wv)],[L-R defense/1.75(tourn-wv)]
0.742629 0.536472 	[CGTT(wv)],[Dodgson-Quick(fwv)]
0.742632 0.523316 	L-R offense/1.5(tourn-wv)
0.742635 0.523799 	[Condorcet],[Copeland]
0.742648 0.536019 	[Schwartz(wv)],[L-R defense/0.75(tourn-wv)]
0.742649 0.549357 	[MDD(sum)(wv)],[Minmax(w/tv)]
0.74266 0.536353 	[CGTT(wv)],[L-R defense/0.25(tourn-wv)]
0.742661 0.536451 	[CGTT(wv)],[L-R defense/2.25(tourn-wv)]
0.742665 0.523235 	[Smith(wv)],[L-R offense/0.75(tourn-wv)]
0.742672 0.578005 	[CDTT(wv)],[L-R both/0.75(rel-margins)]
0.742674 0.536334 	[CDTT(wv)],[L-R defense/2.25(tourn-wv)]
0.742684 0.536546 	[CDTT(wv)],[L-R defense/0.5(tourn-wv)]
0.742688 0.549265 	[MDD(sum)(wv)],[Maximin(keener)]
0.742691 0.536526 	[CDTT(wv)],[Ext-Minmax(tourn-wv)]
0.742698 0.536672 	[Schwartz(wv)],[Dodgson-Quick(rel-margins)]
0.742704 0.551381 	[MDD(sum)(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.742711 0.536433 	[CGTT(wv)],[L-R defense/0.75(tourn-wv)]
0.742714 0.523843 	Copeland
0.74272 0.536369 	[Schwartz(wv)],[L-R defense/2.25(tourn-wv)]
0.742721 0.523436 	[Smith(wv)],[L-R offense/2.25(tourn-wv)]
0.742722 0.536115 	[Schwartz(wv)],[Dodgson-Quick(fwv)]
0.742728 0.549276 	[MDD(sum)(wv)],[Minmax(keener)]
0.742729 0.536405 	[CGTT(wv)],[L-R defense/0.5(tourn-wv)]
0.742733 0.536555 	[CDTT(wv)],[Dodgson-Quick(fwv)]
0.742738 0.53629 	[CGTT(wv)],[Dodgson-Quick(rel-margins)]
0.742744 0.536368 	[CDTT(wv)],[L-R defense/1.25(tourn-wv)]
0.742748 0.523817 	[Condorcet],[L-R offense/0.25(tourn-wv)]
0.742755 0.536554 	[Schwartz(wv)],[Ext-Minmin(tourn-wv)]
0.742757 0.536417 	[Schwartz(wv)],[L-R defense/1.5(tourn-wv)]
0.742757 0.536473 	[Schwartz(wv)],[Dodgson-Quick(tourn-wv)]
0.742763 0.536182 	[CDTT(wv)],[L-R defense/0.75(tourn-wv)]
0.742767 0.536196 	[CGTT(wv)],[L-R defense/1(tourn-wv)]
0.742775 0.53628 	[Schwartz(wv)],[L-R defense/2(tourn-wv)]
0.742775 0.53633 	[CGTT(wv)],[L-R defense/2(tourn-wv)]
0.742778 0.536445 	[Schwartz(wv)],[Ext-Minmax(tourn-wv)]
0.74278 0.536424 	[CGTT(wv)],[L-R defense/1.25(tourn-wv)]
0.742791 0.522854 	L-R offense/0.75(tourn-wv)
0.742793 0.550374 	[MDD(sum)(wv)],[Ext-Minmax(rel-margins)]
0.742799 0.523498 	L-R offense/2(tourn-wv)
0.742805 0.523494 	L-R offense/1.75(tourn-wv)
0.742805 0.550347 	[MDD(sum)(wv)],[Ext-Minmax(wv)]
0.742822 0.536415 	[CDTT(wv)],[Dodgson-Quick(rel-margins)]
0.742825 0.524071 	Copeland
0.742873 0.642778 	L-R offense/0.5(PO)
0.742893 0.550757 	[MDD(sum)(wv)],[VMedianOS-10(tiebreak)]
0.742954 0.523301 	[Smith(wv)],[L-R offense/1(tourn-wv)]
0.742964 0.558832 	[Condorcet],[L-R defense/2.25(fwv)]
0.742991 0.523812 	[Smith(wv)],[Copeland]
0.743025 0.549833 	[MDD(sum)(wv)],[Maximin(PO)]
0.743033 0.52364 	[Smith(wv)],[Copeland]
0.743058 0.524006 	[Smith(wv)],[L-R offense/2(tourn-wv)]
0.743125 0.523745 	[Condorcet],[Copeland]
0.743182 0.523506 	[Smith(wv)],[L-R offense/1.25(tourn-wv)]
0.743188 0.523634 	[Smith(wv)],[L-R offense/1.5(tourn-wv)]
0.743223 0.525498 	[Schwartz(wv)],[L-R offense/1.75(tourn-wv)]
0.743273 0.550433 	[MDD(sum)(wv)],[Ext-Minmax(w/tv)]
0.743296 0.550549 	[MDD(sum)(wv)],[Ext-Minmax(fwv)]
0.743298 0.645669 	L-R offense/0.25(PO)
0.743326 0.559347 	[Condorcet],[L-R defense/2(fwv)]
0.743373 0.525677 	[Schwartz(wv)],[Copeland]
0.743394 0.525524 	[CDTT(wv)],[L-R offense/0.25(tourn-wv)]
0.743405 0.525726 	[Schwartz(wv)],[L-R offense/1.25(tourn-wv)]
0.743424 0.525459 	[CDTT(wv)],[Copeland]
0.743438 0.52545 	[CGTT(wv)],[Copeland]
0.743439 0.525721 	[CGTT(wv)],[L-R offense/2.25(tourn-wv)]
0.74344 0.525418 	[Schwartz(wv)],[L-R offense/0.75(tourn-wv)]
0.743464 0.525842 	[CDTT(wv)],[Copeland]
0.743491 0.525397 	[Schwartz(wv)],[L-R offense/0.5(tourn-wv)]
0.743492 0.525503 	[CGTT(wv)],[Copeland]
0.743523 0.525917 	[CGTT(wv)],[L-R offense/2(tourn-wv)]
0.743533 0.542293 	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.743538 0.525785 	[Schwartz(wv)],[Copeland]
0.743553 0.525469 	[CDTT(wv)],[L-R offense/2.25(tourn-wv)]
0.743566 0.525833 	[CGTT(wv)],[Copeland]
0.743568 0.525427 	[Schwartz(wv)],[L-R offense/2(tourn-wv)]
0.743569 0.525621 	[CDTT(wv)],[L-R offense/1(tourn-wv)]
0.743577 0.525667 	[CGTT(wv)],[L-R offense/0.25(tourn-wv)]
0.743582 0.525828 	[CDTT(wv)],[L-R offense/2(tourn-wv)]
0.743611 0.525488 	[CGTT(wv)],[Copeland]
0.743635 0.558251 	L-R defense/1.75(wv)
0.743648 0.525703 	[CDTT(wv)],[L-R offense/1.5(tourn-wv)]
0.743656 0.525635 	[CDTT(wv)],[L-R offense/0.75(tourn-wv)]
0.743659 0.525612 	[Schwartz(wv)],[Copeland]
0.7437 0.525472 	[CDTT(wv)],[Copeland]
0.7437 0.525799 	[Schwartz(wv)],[L-R offense/2.25(tourn-wv)]
0.743701 0.558018 	[Condorcet],[L-R defense/2.25(wv)]
0.743703 0.525576 	[Schwartz(wv)],[Copeland]
0.74371 0.525726 	[CDTT(wv)],[L-R offense/1.75(tourn-wv)]
0.743712 0.525921 	[CGTT(wv)],[L-R offense/0.75(tourn-wv)]
0.743713 0.525691 	[Schwartz(wv)],[Copeland]
0.743714 0.525578 	[CGTT(wv)],[Copeland]
0.743721 0.525746 	[CGTT(wv)],[Copeland]
0.743738 0.525533 	[CGTT(wv)],[L-R offense/1.25(tourn-wv)]
0.743761 0.52595 	[CGTT(wv)],[L-R offense/1.5(tourn-wv)]
0.743764 0.525587 	[CGTT(wv)],[Copeland]
0.74377 0.525814 	[CDTT(wv)],[L-R offense/1.25(tourn-wv)]
0.743777 0.52593 	[CDTT(wv)],[Copeland]
0.743783 0.525828 	[Schwartz(wv)],[L-R offense/1.5(tourn-wv)]
0.743785 0.525804 	[CDTT(wv)],[Copeland]
0.743806 0.525444 	[CDTT(wv)],[Copeland]
0.743809 0.52544 	[Schwartz(wv)],[L-R offense/1(tourn-wv)]
0.743817 0.639901 	Keener(0.001, +1, raw)(PO)
0.743823 0.525972 	[Schwartz(wv)],[L-R offense/0.25(tourn-wv)]
0.743837 0.525769 	[Schwartz(wv)],[Copeland]
0.743844 0.525524 	[CGTT(wv)],[L-R offense/1.75(tourn-wv)]
0.743844 0.729823 	[SDom(wv)],[L-R defense/2.25(rel-margins)]
0.743849 0.52593 	[Schwartz(wv)],[Copeland]
0.743882 0.525755 	[CGTT(wv)],[L-R offense/1(tourn-wv)]
0.743885 0.525697 	[CDTT(wv)],[L-R offense/0.5(tourn-wv)]
0.743892 0.525689 	[CDTT(wv)],[Copeland]
0.743895 0.52543 	[CGTT(wv)],[L-R offense/0.5(tourn-wv)]
0.744118 0.571893 	[Schwartz(wv)],[L-R defense/2.25(keener)]
0.744138 0.572048 	[CDTT(wv)],[L-R defense/2.25(keener)]
0.744359 0.641021 	Dodgson-Quick(PO)
0.744371 0.572125 	[CGTT(wv)],[L-R defense/2.25(keener)]
0.74451 0.559721 	[Condorcet],[L-R defense/2(wv)]
0.74459 0.55863 	[Condorcet],[L-R defense/1.75(wv)]
0.744766 0.558653 	[Condorcet],[L-R defense/1.75(fwv)]
0.744826 0.548382 	[MDD(sum)(wv)],[VMedianOS-10(norm, tiebreak)]
0.744997 0.442301 	[Schwartz(wv)],[Eliminate-[Antiplurality]/fd]
0.745106 0.572697 	[CDTT(wv)],[L-R offense/0.5(keener)]
0.74521 0.572958 	[Schwartz(wv)],[L-R defense/2(keener)]
0.745231 0.572542 	[Schwartz(wv)],[L-R offense/0.25(keener)]
0.745255 0.572977 	[CDTT(wv)],[L-R defense/2(keener)]
0.745308 0.576353 	[CDTT(wv)],[L-R defense/0.25(keener)]
0.745324 0.572671 	[CGTT(wv)],[L-R offense/0.25(keener)]
0.74538 0.57266 	[Schwartz(wv)],[L-R offense/0.5(keener)]
0.745424 0.576421 	[CGTT(wv)],[L-R defense/0.25(keener)]
0.745429 0.572622 	[CGTT(wv)],[L-R defense/2(keener)]
0.745429 0.574903 	[Smith(wv)],[L-R defense/2.25(keener)]
0.745468 0.576485 	[Schwartz(wv)],[L-R defense/0.25(keener)]
0.745488 0.572871 	[CGTT(wv)],[L-R defense/1.75(keener)]
0.745488 0.573247 	[CDTT(wv)],[L-R offense/0.25(keener)]
0.745574 0.599304 	[Condorcet],[L-R both/0.75(rel-margins)]
0.74558 0.572596 	[CDTT(wv)],[L-R defense/1.75(keener)]
0.745591 0.559231 	L-R defense/1.75(fwv)
0.745626 0.572714 	[Schwartz(wv)],[L-R defense/1.75(keener)]
0.745646 0.572577 	[CGTT(wv)],[L-R offense/0.5(keener)]
0.745799 0.419319 	[Schwartz(wv)],[AVGEliminate-[Antiplurality]/fd]
0.745819 0.561212 	[Condorcet],[L-R defense/0.25(rel-margins)]
0.745904 0.577029 	[CGTT(wv)],[L-R offense/1.75(keener)]
0.745908 0.44161 	[CDTT(wv)],[Eliminate-[Antiplurality]/fd]
0.746127 0.542914 	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.746174 0.576667 	[Schwartz(wv)],[HITS(0.001)(keener)]
0.7462 0.576491 	[Schwartz(wv)],[L-R offense/1.75(keener)]
0.746298 0.57688 	[CDTT(wv)],[L-R offense/1.75(keener)]
0.746363 0.576323 	[CDTT(wv)],[HITS(0.001)(keener)]
0.746374 0.576525 	[CGTT(wv)],[HITS(0.001)(keener)]
0.746383 0.574212 	[CGTT(wv)],[ODM-arctan(0.001)(keener)]
