0 0.32685 	Keener(0.001, +1, norm)(w/tv)
0.56785 0.2438 	L-R defense/0.5(w/tv)
0.567916 0.17715 	Gradual-[Landau(wv)](None, ordinal)
0.568369 0.258304 	L-R both/1.25(wv)
0.568375 0.258306 	L-R both/1.25(w/tv)
0.568408 0.258289 	L-R both/1.25(fwv)
0.568499 0.243808 	L-R defense/0.75(w/tv)
0.569106 0.231434 	Ext-Minmin(fwv)
0.569117 0.231454 	Ext-Minmin(wv)
0.569125 0.231453 	Ext-Minmin(rel-margins)
0.570018 0.243739 	L-R defense/1(w/tv)
0.570113 0.261552 	L-R both/0.25(rel-margins)
0.570128 0.2593 	L-R both/1.5(fwv)
0.570135 0.259307 	L-R both/1.5(w/tv)
0.57014 0.259297 	L-R both/1.5(wv)
0.572524 0.260664 	L-R both/1.75(wv)
0.572525 0.260679 	L-R both/1.75(w/tv)
0.572528 0.260655 	L-R both/1.75(fwv)
0.574254 0.243082 	L-R defense/1.25(w/tv)
0.574513 0.23476 	Dodgson-Quick(wv)
0.574783 0.235382 	L-R defense/0.25(wv)
0.574783 0.235387 	L-R defense/0.25(fwv)
0.574844 0.235395 	L-R defense/0.5(wv)
0.574854 0.235394 	L-R defense/0.5(fwv)
0.575206 0.262293 	L-R both/2(w/tv)
0.57521 0.262291 	L-R both/2(wv)
0.57526 0.262255 	L-R both/2(fwv)
0.575427 0.23543 	L-R defense/0.75(wv)
0.575427 0.235474 	L-R defense/0.75(fwv)
0.576741 0.235627 	L-R defense/1(wv)
0.576939 0.235499 	L-R defense/1(fwv)
0.578145 0.264104 	L-R both/2.25(fwv)
0.578159 0.264094 	L-R both/2.25(w/tv)
0.57816 0.264064 	L-R both/2.25(wv)
0.578431 0.242672 	L-R defense/1.5(w/tv)
0.578771 0.351394 	L-R offense/0.75(rel-margins)
0.580087 0.235041 	L-R defense/1.25(fwv)
0.580095 0.235066 	L-R defense/1.25(wv)
0.583035 0.241901 	L-R defense/1.75(w/tv)
0.583338 0.234714 	L-R defense/1.5(fwv)
0.583349 0.234719 	L-R defense/1.5(wv)
0.584325 0.235138 	L-R defense/0.25(rel-margins)
0.585924 0.295668 	L-R offense/2.25(keener)
0.586787 0.292007 	L-R offense/2(keener)
0.587245 0.234136 	L-R defense/1.75(wv)
0.587251 0.234175 	L-R defense/1.75(fwv)
0.587441 0.240848 	L-R defense/2(w/tv)
0.587561 0.376066 	L-R offense/1(rel-margins)
0.588146 0.288103 	L-R offense/1.75(keener)
0.588328 0.371536 	Keener(0.001, +1, raw)(rel-margins)
0.589698 0.28949 	HITS(0.001)(keener)
0.589769 0.284435 	L-R offense/1.5(keener)
0.590852 0.233667 	L-R defense/2(fwv)
0.590857 0.233685 	L-R defense/2(wv)
0.591636 0.239647 	L-R defense/2.25(w/tv)
0.591944 0.280717 	L-R offense/1.25(keener)
0.593202 0.276387 	ODM-arctan(0.001)(keener)
0.593279 0.289019 	L-R defense/0.5(keener)
0.593389 0.297605 	L-R defense/0.25(keener)
0.593796 0.282539 	L-R defense/0.75(keener)
0.593945 0.276974 	L-R both/1.5(keener)
0.594128 0.277039 	L-R both/1.25(keener)
0.594179 0.277131 	L-R both/1.75(keener)
0.594394 0.233015 	L-R defense/2.25(fwv)
0.59442 0.233027 	L-R defense/2.25(wv)
0.594714 0.277466 	L-R both/0.5(rel-margins)
0.594719 0.277483 	L-R both/2(keener)
0.59473 0.277511 	L-R defense/1(keener)
0.594733 0.277477 	L-R offense/1(keener)
0.594741 0.277464 	L-R both/1(keener)
0.595105 0.277705 	Sinkhorn(0.001, +1)(keener)
0.595351 0.276633 	Keener(0.001, +1, norm)(keener)
0.595754 0.278134 	L-R both/2.25(keener)
0.595987 0.278377 	L-R both/0.75(keener)
0.596273 0.273478 	L-R defense/1.25(keener)
0.597018 0.39608 	L-R offense/1.25(rel-margins)
0.597059 0.273688 	Keener(0.001, +1, raw)(keener)
0.597909 0.279713 	L-R both/0.5(keener)
0.597946 0.269978 	L-R defense/1.5(keener)
0.598293 0.274472 	L-R offense/0.75(keener)
0.598618 0.280624 	ODM(0.001)(keener)
0.600282 0.266899 	L-R defense/1.75(keener)
0.601114 0.282114 	L-R both/0.25(keener)
0.602587 0.271614 	L-R offense/0.5(keener)
0.602805 0.264568 	L-R defense/2(keener)
0.604173 0.412306 	L-R offense/1.5(rel-margins)
0.605188 0.262693 	L-R defense/2.25(keener)
0.606617 0.422169 	HITS(0.001)(rel-margins)
0.606927 0.338804 	ODM-arctan(0.001)(rel-margins)
0.607758 0.268815 	L-R offense/0.25(keener)
0.611332 0.427825 	L-R offense/1.75(rel-margins)
0.612414 0.331173 	Cardinal-10
0.616985 0.237638 	L-R defense/0.5(rel-margins)
0.617376 0.295108 	L-R both/0.75(rel-margins)
0.620232 0.450584 	L-R offense/2.25(rel-margins)
0.628979 0.3318 	L-R offense/2.25(PO)
0.629699 0.327802 	L-R offense/2(PO)
0.630723 0.323652 	L-R offense/1.75(PO)
0.631714 0.320132 	L-R offense/1.5(PO)
0.632411 0.323504 	HITS(0.001)(PO)
0.632701 0.307514 	Sinkhorn(0.001, +1)(rel-margins)
0.633295 0.317001 	L-R offense/1.25(PO)
0.633953 0.308816 	L-R both/1.5(PO)
0.634043 0.309033 	L-R both/1.25(PO)
0.634063 0.30907 	L-R both/1.75(PO)
0.634796 0.318992 	L-R defense/0.75(PO)
0.635124 0.310118 	ODM-arctan(0.001)(PO)
0.635403 0.317329 	Dodgson-Quick(PO)
0.635536 0.325145 	L-R defense/0.5(PO)
0.63567 0.312082 	L-R both/1(PO)
0.635672 0.312085 	L-R offense/1(PO)
0.635674 0.312088 	L-R both/2(PO)
0.635678 0.312077 	L-R defense/1(PO)
0.635678 0.312078 	Borda
0.636465 0.311643 	L-R both/1(rel-margins)
