L-R offense/1.5(tourn-wv)	-61.4502 85.7937 
L-R defense/1.5(tourn-wv)	-61.2606 85.9247 
L-R both/1.5(tourn-wv)	-61.178 85.76 
L-R offense/1.75(tourn-wv)	-61.4502 85.7937 
L-R defense/1.75(tourn-wv)	-61.2606 85.9247 
L-R both/1.75(tourn-wv)	-61.178 85.76 
L-R offense/2(tourn-wv)	-61.4502 85.7937 
L-R defense/2(tourn-wv)	-61.2606 85.9247 
L-R both/2(tourn-wv)	-61.178 85.76 
L-R offense/2.25(tourn-wv)	-61.4502 85.7937 
L-R defense/2.25(tourn-wv)	-61.2606 85.9247 
L-R both/2.25(tourn-wv)	-61.178 85.76 
Copeland	-61.4502 85.7937 
2. order Copeland/2/1	-60.8666 85.9741 
2. order Copeland	-61.323 86.997 
Schulze(tourn-wv)	-63.6521 86.6061 
Ranked Pairs(tourn-wv)	-59.7015 87.1576 
River(tourn-wv)	-59.3996 76.8256 
Dodgson-Quick(tourn-wv)	-61.2606 85.9247 
Keener(0.001, +0, raw)(tourn-wv)	-67.7713 89.367 
Keener(0.001, +0, norm)(tourn-wv)	-60.8446 85.8802 
Keener(0.001, +1, raw)(tourn-wv)	-60.952 85.9927 
Keener(0.001, +1, norm)(tourn-wv)	-60.7996 85.885 
Sinkhorn(0.001, +1)(tourn-wv)	-60.8602 85.8157 
Sinkhorn(0.001, +0)(tourn-wv)	-59.2103 89.373 
ODM(0.001)(tourn-wv)	-60.6933 86.0265 
HITS(0.001)(tourn-wv)	-61.483 85.6007 
ODM-arctan(0.001)(tourn-wv)	-60.8431 85.8317 
Kemeny(fwv)	-60.1245 86.0425 
Ext-Minmax(fwv)	-57.1859 83.0706 
Ext-Minmin(fwv)	-60.327 85.4999 
Minmax(fwv)	-57.0971 82.5497 
Maximin(fwv)	-66.6994 73.3121 
L-R offense/0.25(fwv)	-61.1355 85.1126 
L-R defense/0.25(fwv)	-60.2572 85.3828 
L-R both/0.25(fwv)	-60.658 85.1561 
L-R offense/0.5(fwv)	-61.1353 85.1124 
L-R defense/0.5(fwv)	-60.2562 85.383 
L-R both/0.5(fwv)	-60.6583 85.156 
L-R offense/0.75(fwv)	-61.1363 85.1075 
L-R defense/0.75(fwv)	-60.2531 85.3781 
L-R both/0.75(fwv)	-60.6578 85.1552 
L-R offense/1(fwv)	-61.1471 85.0707 
L-R defense/1(fwv)	-60.2304 85.353 
L-R both/1(fwv)	-60.6644 85.1563 
L-R offense/1.25(fwv)	-61.1645 84.9939 
L-R defense/1.25(fwv)	-60.1664 85.3113 
L-R both/1.25(fwv)	-60.6575 85.1443 
L-R offense/1.5(fwv)	-61.1999 84.8939 
L-R defense/1.5(fwv)	-60.1134 85.2694 
L-R both/1.5(fwv)	-60.6508 85.1059 
L-R offense/1.75(fwv)	-61.246 84.7903 
L-R defense/1.75(fwv)	-60.0404 85.2157 
L-R both/1.75(fwv)	-60.6402 85.0542 
L-R offense/2(fwv)	-61.3035 84.6797 
L-R defense/2(fwv)	-59.9725 85.1674 
L-R both/2(fwv)	-60.6255 85.0015 
L-R offense/2.25(fwv)	-61.3678 84.5735 
L-R defense/2.25(fwv)	-59.8962 85.1135 
L-R both/2.25(fwv)	-60.6165 84.9495 
Copeland	-61.4502 85.7937 
2. order Copeland/2/1	-60.8666 85.9741 
2. order Copeland	-61.323 86.997 
Schulze(fwv)	-59.7025 85.6592 
Ranked Pairs(fwv)	-59.7237 85.8975 
River(fwv)	-61.7806 75.8657 
Dodgson-Quick(fwv)	-61.2606 85.9247 
Keener(0.001, +0, raw)(fwv)	-67.6587 89.3612 
Keener(0.001, +0, norm)(fwv)	-60.645 85.1764 
Keener(0.001, +1, raw)(fwv)	-61.0073 85.3577 
Keener(0.001, +1, norm)(fwv)	-60.6443 85.1781 
Sinkhorn(0.001, +1)(fwv)	-60.6593 85.1977 
Sinkhorn(0.001, +0)(fwv)	-58.7238 89.0174 
ODM(0.001)(fwv)	-60.489 85.719 
HITS(0.001)(fwv)	-61.4402 84.8187 
ODM-arctan(0.001)(fwv)	-60.6732 85.3991 
Kemeny(rel-margins)	-59.9385 85.9149 
Ext-Minmax(rel-margins)	-57.1859 83.0706 
Ext-Minmin(rel-margins)	-60.327 85.4999 
Minmax(rel-margins)	-57.0971 82.5497 
Maximin(rel-margins)	-66.6994 73.3121 
L-R offense/0.25(rel-margins)	-61.1472 84.9351 
L-R defense/0.25(rel-margins)	-60.1488 85.2539 
L-R both/0.25(rel-margins)	-60.6254 85.0793 
L-R offense/0.5(rel-margins)	-61.385 84.1652 
L-R defense/0.5(rel-margins)	-59.6731 84.7488 
L-R both/0.5(rel-margins)	-60.5106 84.5043 
L-R offense/0.75(rel-margins)	-61.6356 83.4829 
L-R defense/0.75(rel-margins)	-59.2433 84.3709 
L-R both/0.75(rel-margins)	-60.4079 83.8744 
L-R offense/1(rel-margins)	-61.866 82.9327 
L-R defense/1(rel-margins)	-58.9156 84.0794 
L-R both/1(rel-margins)	-60.3112 83.2673 
L-R offense/1.25(rel-margins)	-62.0254 82.4523 
L-R defense/1.25(rel-margins)	-58.625 83.8679 
L-R both/1.25(rel-margins)	-60.1884 82.7343 
L-R offense/1.5(rel-margins)	-62.1799 82.059 
L-R defense/1.5(rel-margins)	-58.3995 83.703 
L-R both/1.5(rel-margins)	-60.1013 82.2947 
L-R offense/1.75(rel-margins)	-62.3491 81.7347 
