L-R offense/0.25(fwv)	1.98225 1.64885 
L-R defense/0.25(fwv)	1.134 0.987481 
L-R both/0.25(fwv)	1.65411 1.21617 
L-R offense/0.5(fwv)	1.98475 1.65067 
L-R defense/0.5(fwv)	1.1353 0.977867 
L-R both/0.5(fwv)	1.65229 1.21735 
L-R offense/0.75(fwv)	1.98667 1.65576 
L-R defense/0.75(fwv)	1.14456 0.982097 
L-R both/0.75(fwv)	1.65248 1.21295 
L-R offense/1(fwv)	2.01977 1.62493 
L-R defense/1(fwv)	1.14203 0.948682 
L-R both/1(fwv)	1.64697 1.2104 
L-R offense/1.25(fwv)	2.10439 1.61386 
L-R defense/1.25(fwv)	1.14413 0.865076 
L-R both/1.25(fwv)	1.67504 1.19414 
L-R offense/1.5(fwv)	2.19407 1.59755 
L-R defense/1.5(fwv)	1.13549 0.791897 
L-R both/1.5(fwv)	1.69849 1.16692 
L-R offense/1.75(fwv)	2.30268 1.57998 
L-R defense/1.75(fwv)	1.13617 0.70856 
L-R both/1.75(fwv)	1.74387 1.11577 
L-R offense/2(fwv)	2.41848 1.57503 
L-R defense/2(fwv)	1.13629 0.617732 
L-R both/2(fwv)	1.78432 1.0707 
L-R offense/2.25(fwv)	2.5271 1.55788 
L-R defense/2.25(fwv)	1.11614 0.523971 
L-R both/2.25(fwv)	1.8415 1.01977 
Copeland	0.949007 1.99496 
2. order Copeland/2/1	1.20813 2.01411 
2. order Copeland	0.486968 2.92485 
Schulze(fwv)	0.22829 0.549871 
Ranked Pairs(fwv)	0.156436 0.773227 
River(fwv)	-7.28094 -0.287067 
Dodgson-Quick(fwv)	0.738863 1.74685 
Keener(0.001, +0, raw)(fwv)	-5.38471 5.14861 
Keener(0.001, +0, norm)(fwv)	1.63325 1.2136 
Keener(0.001, +1, raw)(fwv)	1.80846 1.70532 
Keener(0.001, +1, norm)(fwv)	1.63335 1.21617 
Sinkhorn(0.001, +1)(fwv)	1.63287 1.25632 
Sinkhorn(0.001, +0)(fwv)	4.29631 4.68418 
ODM(0.001)(fwv)	1.78298 1.94586 
HITS(0.001)(fwv)	2.47139 1.82453 
ODM-arctan(0.001)(fwv)	1.57348 1.46326 
