7.77316e-05 0.87271 	Gradual-[MDD(direct)(wv)](None, ordinal)
0.675059 0.367381 	L-R both/1.75(fwv)
0.675059 0.367381 	L-R both/1(fwv)
0.675059 0.367382 	L-R both/1.5(w/tv)
0.675059 0.367382 	Sinkhorn(0.001, +1)(fwv)
0.675059 0.367382 	Sinkhorn(0.001, +1)(w/tv)
0.675059 0.367383 	L-R both/0.5(wv)
0.675059 0.367383 	Sinkhorn(0.001, +1)(wv)
0.675059 0.36738 	L-R both/2.25(w/tv)
0.67506 0.367381 	Keener(0.001, +1, norm)(fwv)
0.67506 0.367381 	L-R both/0.5(fwv)
0.67506 0.367381 	L-R both/0.75(wv)
0.67506 0.367381 	L-R both/1.25(fwv)
0.67506 0.367382 	L-R both/1.75(wv)
0.67506 0.367382 	L-R both/1(wv)
0.67506 0.367382 	L-R both/2.25(fwv)
0.675061 0.36738 	L-R both/0.25(fwv)
0.675061 0.36738 	L-R both/2(w/tv)
0.675061 0.36738 	L-R both/2(wv)
0.678769 0.372548 	Keener(0.001, +1, raw)(wv)
0.683126 0.170724 	L-R both/2(rel-margins)
0.683766 0.170678 	L-R both/2.25(rel-margins)
0.686076 0.372083 	HITS(0.001)(w/tv)
0.686076 0.372083 	ODM(0.001)(fwv)
0.686076 0.372083 	ODM(0.001)(rel-margins)
0.686076 0.372083 	ODM(0.001)(w/tv)
0.686076 0.372083 	ODM(0.001)(wv)
0.686594 0.259964 	Keener(0.001, +1, raw)(PO)
0.68694 0.259879 	L-R defense/2(PO)
0.687197 0.206044 	L-R both/1.5(rel-margins)
0.687273 0.259844 	L-R defense/1.25(PO)
0.68732 0.259939 	L-R defense/1.5(PO)
0.68736 0.259374 	L-R defense/2.25(PO)
0.687501 0.259622 	L-R defense/1.75(PO)
0.687549 0.259568 	L-R offense/0.5(PO)
0.687629 0.259926 	L-R offense/0.25(PO)
0.687836 0.259778 	L-R offense/0.75(PO)
0.689692 0.200696 	L-R both/1.75(rel-margins)
0.69001 0.37746 	Keener(0.001, +1, raw)(fwv)
0.690712 0.350357 	ODM-arctan(0.001)(fwv)
0.690746 0.350299 	ODM-arctan(0.001)(rel-margins)
0.693142 0.231189 	L-R both/1.25(rel-margins)
0.694464 0.267028 	L-R defense/1(PO)
0.694512 0.26699 	Borda
0.694537 0.266938 	L-R both/1(rel-margins)
0.694545 0.26697 	L-R both/1(PO)
0.69456 0.266941 	L-R both/2(PO)
0.694565 0.266988 	VoteForAgainst
0.694629 0.26695 	Cardinal-10
0.694673 0.266856 	L-R offense/1(PO)
0.694677 0.26692 	Cardinal-10(norm)
0.696341 0.349804 	Keener(0.001, +1, raw)(w/tv)
0.696696 0.38786 	L-R offense/2.25(w/tv)
0.696781 0.387894 	L-R offense/0.75(w/tv)
0.696813 0.387912 	L-R offense/0.25(w/tv)
0.696814 0.387974 	L-R offense/1(w/tv)
0.696819 0.387828 	L-R offense/1.25(w/tv)
0.696835 0.387913 	L-R offense/1.75(w/tv)
0.696882 0.387899 	L-R offense/1.5(w/tv)
0.696909 0.387918 	L-R offense/2(w/tv)
0.696924 0.387924 	L-R offense/0.5(w/tv)
0.697045 0.362825 	Gradual-[Copeland](None, ordinal)
0.697089 0.362823 	HITS(0.001)(fwv)
0.697104 0.249974 	L-R both/0.75(PO)
0.697108 0.250157 	L-R both/2.25(PO)
0.697142 0.250127 	L-R both/0.25(PO)
0.697209 0.362935 	Gradual-[Copeland](None, cardinal)
0.697243 0.36269 	HITS(0.001)(wv)
0.697266 0.250202 	ODM(0.001)(PO)
0.69734 0.250019 	L-R both/0.5(PO)
0.697552 0.249921 	Sinkhorn(0.001, +1)(PO)
0.698441 0.261844 	NREM-Opt
0.699992 0.272181 	Keener(0.001, +1, norm)(rel-margins)
0.704141 0.324609 	L-R both/0.75(rel-margins)
0.70904 0.294064 	Sinkhorn(0.001, +1)(rel-margins)
0.70907 0.293878 	L-R both/1.25(PO)
0.709078 0.294088 	ODM-arctan(0.001)(PO)
0.709232 0.293829 	L-R both/1.5(PO)
0.709689 0.293792 	L-R both/1.75(PO)
