0 0.872558 	Dodgson-Quick(keener)
0.579552 0.301749 	[SDom(wv)],[Ranked Pairs(keener)]
0.579552 0.302041 	[SDom(wv)],[Ranked Pairs(wv)]
0.579669 0.302323 	[SDom(wv)],[Ranked Pairs(rel-margins)]
0.579749 0.302286 	[SDom(wv)],[Ranked Pairs(w/tv)]
0.579924 0.184196 	[SDom(wv)],[Nauru Borda]
0.580037 0.301979 	[SDom(wv)],[Ranked Pairs(fwv)]
0.580417 0.310693 	[SDom(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.580483 0.310821 	[SDom(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.581117 0.31087 	[SDom(wv)],[AVGEliminate-[Borda]/fd]
0.582817 0.329649 	[SDom(wv)],[Keener(0.001, +1, norm)(wv)]
0.583989 0.367456 	[Landau(wv)],[AVGEliminate-[Plurality]/fd]
0.584454 0.367353 	[Smith(wv)],[AVGEliminate-[Plurality]/fd]
0.58578 0.371544 	[Condorcet],[L-R defense/1.5(rel-margins)]
0.58604 0.364795 	[Condorcet],[Ext-Minmax(w/tv)]
0.588958 0.39197 	[CDTT(wv)],[Eliminate-[Plurality]/fd]
0.588992 0.281602 	[SDom(wv)],[Ext-Minmax(keener)]
0.588994 0.281696 	[SDom(wv)],[Ext-Minmax(wv)]
0.588997 0.281669 	Ext-Minmax(wv)
0.589062 0.281727 	Ext-Minmax(PO)
0.589065 0.281683 	Ext-Minmax(keener)
0.589106 0.281732 	[SDom(wv)],[Ext-Minmax(PO)]
0.59002 0.393606 	[Schwartz(wv)],[Eliminate-[Plurality]/fd]
0.590296 0.392739 	[CGTT(wv)],[Eliminate-[Plurality]/fd]
0.591124 0.376374 	[Condorcet],[L-R defense/1.25(rel-margins)]
0.596352 0.376326 	[CDTT(wv)],[AVGEliminate-[Plurality]/fd]
0.596373 0.376434 	[CGTT(wv)],[AVGEliminate-[Plurality]/fd]
0.596667 0.376743 	[Schwartz(wv)],[AVGEliminate-[Plurality]/fd]
0.598585 0.379362 	[Condorcet],[L-R defense/0.75(rel-margins)]
0.598588 0.379353 	[Condorcet],[L-R defense/1(rel-margins)]
0.600821 0.336608 	AVGEliminate-[NREM-Opt]/fd
0.601105 0.336481 	AVGEliminate-[Borda]/fd
0.601466 0.335307 	AVGEliminate-[VoteForAgainst]/fd
0.601691 0.306212 	[CGTT(wv)],[Ranked Pairs(tourn-wv)]
0.601737 0.306108 	[MDD(sum)(wv)],[Ranked Pairs(tourn-wv)]
0.601845 0.304667 	[Condorcet],[Ranked Pairs(tourn-wv)]
0.601874 0.304702 	[Smith(wv)],[Ranked Pairs(tourn-wv)]
0.601883 0.305521 	Ranked Pairs(tourn-wv)
0.602282 0.30439 	[CDTT(wv)],[Ranked Pairs(tourn-wv)]
0.60279 0.304876 	[Landau(wv)],[Ranked Pairs(tourn-wv)]
0.602843 0.304754 	[Schwartz(wv)],[Ranked Pairs(tourn-wv)]
0.602892 0.356012 	[Condorcet],[Eliminate-[Borda]/fd]
0.603009 0.356103 	[Condorcet],[Eliminate-[NREM-Opt]/fd]
0.603051 0.356094 	[Condorcet],[Eliminate-[VoteForAgainst]/fd]
0.608658 0.342661 	[Condorcet],[Gradual-[SDom(wv)](None, ordinal)]
0.609139 0.380904 	[MDD(sum)(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.609351 0.341993 	[Condorcet],[Gradual-[SDom(wv)](None, cardinal)]
0.610051 0.388314 	L-R defense/0.5(rel-margins)
0.610111 0.231235 	[SDom(wv)],[Dodgson-Quick(PO)]
0.613216 0.508609 	[Smith(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.613219 0.508598 	[Landau(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.613228 0.508596 	[Smith(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.613234 0.508578 	[Smith(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.613235 0.50853 	[Smith(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.613236 0.508516 	[Landau(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.61324 0.508521 	[Landau(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.613241 0.508516 	[Landau(wv)],[Dodgson-Quick(keener)]
0.613249 0.50853 	[Landau(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.613252 0.508524 	[Landau(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.613258 0.508514 	[Smith(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.613259 0.508518 	[Landau(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.61327 0.5085 	[Smith(wv)],[Dodgson-Quick(keener)]
0.613278 0.50848 	[Smith(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.613973 0.479563 	[MDD(sum)(wv)],[VMedianOS-10()]
0.614024 0.482992 	[Condorcet],[L-R defense/2(tourn-wv)]
0.614024 0.482992 	[Landau(wv)],[Minmax(tourn-wv)]
0.614024 0.482992 	[MDD(sum)(wv)],[Dodgson-Quick(tourn-wv)]
0.614024 0.482992 	[MDD(sum)(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.614024 0.482992 	[Smith(wv)],[Ext-Minmax(tourn-wv)]
0.614025 0.482991 	[Condorcet],[L-R defense/0.25(tourn-wv)]
0.614025 0.482991 	[Condorcet],[L-R defense/2.25(tourn-wv)]
0.614025 0.482991 	L-R defense/0.75(tourn-wv)
0.614025 0.482991 	[MDD(sum)(wv)],[L-R defense/0.25(tourn-wv)]
0.614025 0.482991 	[Smith(wv)],[2. order Copeland]
0.614025 0.482991 	[Smith(wv)],[2. order Copeland]
0.614025 0.482991 	[Smith(wv)],[L-R defense/0.5(tourn-wv)]
0.614025 0.482992 	[Condorcet],[L-R defense/0.75(tourn-wv)]
0.614025 0.482992 	[Condorcet],[L-R defense/1.75(tourn-wv)]
0.614025 0.482992 	[Landau(wv)],[2. order Copeland]
0.614025 0.482992 	[Landau(wv)],[L-R defense/1.25(tourn-wv)]
0.614025 0.482992 	[MDD(sum)(wv)],[Dodgson-Quick(keener)]
0.614025 0.482992 	[Smith(wv)],[L-R defense/2.25(tourn-wv)]
0.614026 0.482989 	[Condorcet],[Ext-Minmax(tourn-wv)]
0.614026 0.482989 	Dodgson-Quick(fwv)
0.614026 0.482989 	[Landau(wv)],[L-R defense/0.5(tourn-wv)]
0.614026 0.482989 	L-R defense/1(tourn-wv)
0.614026 0.482989 	[MDD(sum)(wv)],[2. order Copeland]
0.614026 0.482989 	[MDD(sum)(wv)],[2. order Copeland]
0.614026 0.482989 	[MDD(sum)(wv)],[Ext-Minmin(tourn-wv)]
0.614026 0.482989 	[Smith(wv)],[2. order Copeland]
0.614026 0.482991 	[MDD(sum)(wv)],[L-R defense/0.75(tourn-wv)]
0.614026 0.48299 	[Condorcet],[Dodgson-Quick(rel-margins)]
0.614026 0.48299 	[Landau(wv)],[2. order Copeland]
0.614026 0.48299 	[Landau(wv)],[Dodgson-Quick(rel-margins)]
0.614026 0.48299 	[Landau(wv)],[L-R defense/1(tourn-wv)]
0.614026 0.48299 	L-R defense/1.5(tourn-wv)
0.614026 0.48299 	[MDD(sum)(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.614026 0.48299 	[Smith(wv)],[Dodgson-Quick(tourn-wv)]
0.614026 0.48299 	[Smith(wv)],[Ext-Minmin(tourn-wv)]
0.614027 0.482988 	[Landau(wv)],[2. order Copeland]
0.614027 0.482988 	[Landau(wv)],[Ext-Minmax(tourn-wv)]
0.614027 0.482988 	[Landau(wv)],[L-R defense/1.75(tourn-wv)]
0.614027 0.482988 	L-R defense/1.25(tourn-wv)
0.614027 0.482988 	L-R defense/2(tourn-wv)
0.614027 0.482988 	[MDD(sum)(wv)],[2. order Copeland]
0.614027 0.482988 	[MDD(sum)(wv)],[2. order Copeland]
0.614027 0.482988 	[Smith(wv)],[Dodgson-Quick(fwv)]
0.614027 0.482988 	[Smith(wv)],[L-R defense/0.25(tourn-wv)]
0.614027 0.482988 	[Smith(wv)],[L-R defense/1.25(tourn-wv)]
0.614027 0.482988 	[Smith(wv)],[L-R defense/1.5(tourn-wv)]
0.614027 0.482989 	[Condorcet],[L-R defense/1.25(tourn-wv)]
0.614027 0.482989 	[Condorcet],[L-R defense/1.5(tourn-wv)]
0.614027 0.482989 	[Landau(wv)],[2. order Copeland]
0.614027 0.482989 	[MDD(sum)(wv)],[L-R defense/1.5(tourn-wv)]
0.614027 0.482989 	[MDD(sum)(wv)],[L-R defense/1(tourn-wv)]
0.614027 0.482989 	[Smith(wv)],[2. order Copeland]
0.614028 0.482986 	[Landau(wv)],[Dodgson-Quick(fwv)]
0.614028 0.482986 	[Landau(wv)],[Dodgson-Quick(tourn-wv)]
0.614028 0.482986 	L-R defense/1.75(tourn-wv)
0.614028 0.482986 	[Smith(wv)],[2. order Copeland]
0.614028 0.482987 	[Condorcet],[Dodgson-Quick(fwv)]
0.614028 0.482987 	[Condorcet],[Ext-Minmin(tourn-wv)]
0.614028 0.482987 	[Condorcet],[L-R defense/0.5(tourn-wv)]
0.614028 0.482987 	[Condorcet],[L-R defense/1(tourn-wv)]
0.614028 0.482987 	Ext-Minmax(tourn-wv)
0.614028 0.482987 	[Landau(wv)],[L-R defense/0.25(tourn-wv)]
0.614028 0.482987 	L-R defense/0.5(tourn-wv)
0.614028 0.482987 	[MDD(sum)(wv)],[2. order Copeland]
0.614028 0.482987 	[MDD(sum)(wv)],[Dodgson-Quick(fwv)]
0.614028 0.482987 	[MDD(sum)(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.614028 0.482987 	[MDD(sum)(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.614028 0.482987 	[MDD(sum)(wv)],[L-R defense/1.75(tourn-wv)]
0.614028 0.482987 	[Smith(wv)],[L-R defense/0.75(tourn-wv)]
0.614028 0.482987 	[Smith(wv)],[L-R defense/2(tourn-wv)]
0.614028 0.482988 	Ext-Minmin(tourn-wv)
0.614029 0.482985 	[Condorcet],[Dodgson-Quick(tourn-wv)]
0.614029 0.482985 	[Landau(wv)],[L-R defense/0.75(tourn-wv)]
0.614029 0.482985 	[Landau(wv)],[L-R defense/1.5(tourn-wv)]
0.614029 0.482985 	[MDD(sum)(wv)],[Dodgson-Quick(rel-margins)]
0.614029 0.482985 	[MDD(sum)(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.614029 0.482985 	[MDD(sum)(wv)],[L-R defense/1.25(tourn-wv)]
0.614029 0.482986 	Dodgson-Quick(tourn-wv)
0.614029 0.482986 	L-R defense/2.25(tourn-wv)
0.614029 0.482986 	[MDD(sum)(wv)],[Minmax(tourn-wv)]
0.614029 0.482986 	[Smith(wv)],[2. order Copeland]
0.614029 0.482986 	[Smith(wv)],[L-R defense/1.75(tourn-wv)]
0.614029 0.482986 	[Smith(wv)],[L-R defense/1(tourn-wv)]
0.61403 0.482983 	Dodgson-Quick(rel-margins)
0.61403 0.482983 	[Landau(wv)],[2. order Copeland]
0.61403 0.482983 	[MDD(sum)(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.61403 0.482983 	[Smith(wv)],[2. order Copeland]
0.61403 0.482984 	[Landau(wv)],[2. order Copeland]
0.61403 0.482984 	L-R defense/0.25(tourn-wv)
0.61403 0.482984 	[MDD(sum)(wv)],[L-R defense/2.25(tourn-wv)]
0.61403 0.482984 	[Smith(wv)],[Minmax(tourn-wv)]
0.614031 0.482982 	[Landau(wv)],[L-R defense/2.25(tourn-wv)]
0.614031 0.482982 	[Landau(wv)],[L-R defense/2(tourn-wv)]
0.614031 0.482982 	[MDD(sum)(wv)],[2. order Copeland]
0.614031 0.482982 	[MDD(sum)(wv)],[2. order Copeland]
0.614031 0.482982 	[MDD(sum)(wv)],[L-R defense/0.5(tourn-wv)]
0.614031 0.482982 	[MDD(sum)(wv)],[L-R defense/2(tourn-wv)]
0.614031 0.482983 	[Landau(wv)],[2. order Copeland]
0.614031 0.482983 	[Landau(wv)],[Ext-Minmin(tourn-wv)]
0.614031 0.482983 	[MDD(sum)(wv)],[Ext-Minmax(tourn-wv)]
0.614031 0.482983 	[Smith(wv)],[Dodgson-Quick(rel-margins)]
0.614808 0.479823 	[MDD(sum)(wv)],[Gradual-[Condorcet](None, cardinal)]
0.614974 0.479709 	[MDD(sum)(wv)],[VMedianOS-10(norm)]
0.61504 0.479675 	[MDD(sum)(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.615055 0.479691 	[MDD(sum)(wv)],[Gradual-[Condorcet](None, ordinal)]
0.615068 0.479964 	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.615124 0.331013 	[Condorcet],[Maximin(w/tv)]
0.615215 0.479849 	[MDD(sum)(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.615321 0.479814 	[MDD(sum)(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.615859 0.331543 	[Landau(wv)],[Maximin(w/tv)]
0.616225 0.332518 	[Smith(wv)],[Maximin(w/tv)]
0.616642 0.39268 	[Smith(wv)],[L-R defense/1(fwv)]
0.616681 0.392925 	[Landau(wv)],[L-R defense/2(wv)]
0.616699 0.392698 	[Landau(wv)],[L-R defense/1.5(fwv)]
0.616704 0.392728 	[MDD(sum)(wv)],[Minmax(wv)]
0.61671 0.39281 	[Landau(wv)],[Minmax(keener)]
0.616713 0.392737 	L-R defense/2.25(fwv)
0.616716 0.392703 	[MDD(sum)(wv)],[L-R defense/1.5(fwv)]
0.616717 0.392893 	[MDD(sum)(wv)],[Maximin(keener)]
0.616726 0.39273 	L-R defense/0.5(fwv)
0.616746 0.392694 	L-R defense/1.25(fwv)
