0 0.872558 	Dodgson-Quick(keener)
0.626163 0.478728 	[CDTT(wv)],[L-R offense/0.5(tourn-wv)]
0.626163 0.478741 	[CDTT(wv)],[Copeland]
0.626164 0.478592 	[CDTT(wv)],[Gradual-[CGTT(wv)](None, ordinal)]
0.626164 0.478658 	[CDTT(wv)],[2. order Copeland/2/1]
0.626164 0.478662 	L-R both/1.75(tourn-wv)
0.626164 0.47866 	[Landau(wv)],[2. order Copeland/2/1]
0.626164 0.478676 	[Schwartz(wv)],[Ext-Minmax(tourn-wv)]
0.626164 0.478682 	[Schwartz(wv)],[L-R both/1.75(tourn-wv)]
0.626164 0.478724 	[MDD(sum)(wv)],[L-R both/0.75(tourn-wv)]
0.626164 0.478742 	2. order Copeland/2/1
0.626165 0.478579 	[Condorcet],[2. order Copeland/2/1]
0.626165 0.478624 	[CDTT(wv)],[2. order Copeland/2/1]
0.626165 0.478635 	[CDTT(wv)],[Copeland]
0.626165 0.478636 	[CDTT(wv)],[L-R offense/1.5(tourn-wv)]
0.626165 0.478656 	[CGTT(wv)],[L-R defense/1.75(tourn-wv)]
0.626165 0.478659 	[CGTT(wv)],[L-R defense/1.5(tourn-wv)]
0.626165 0.478661 	[CGTT(wv)],[2. order Copeland]
0.626165 0.478662 	[Schwartz(wv)],[L-R both/0.25(tourn-wv)]
0.626165 0.478666 	[CGTT(wv)],[L-R offense/2(tourn-wv)]
0.626165 0.478672 	[Schwartz(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.626165 0.478678 	[Schwartz(wv)],[Copeland]
0.626165 0.47867 	[Schwartz(wv)],[L-R offense/0.5(tourn-wv)]
0.626165 0.478735 	[CGTT(wv)],[L-R offense/0.25(tourn-wv)]
0.626165 0.478737 	[Schwartz(wv)],[L-R offense/0.75(tourn-wv)]
0.626165 0.478754 	[CGTT(wv)],[L-R offense/0.5(tourn-wv)]
0.626165 0.4787 	[CGTT(wv)],[2. order Copeland/2/1]
0.626166 0.478608 	[Landau(wv)],[2. order Copeland/2/1]
0.626166 0.478629 	[MDD(sum)(wv)],[L-R both/0.5(tourn-wv)]
0.626166 0.478643 	[Smith(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.626166 0.478648 	[Condorcet],[2. order Copeland/2/1]
0.626166 0.478657 	[CDTT(wv)],[2. order Copeland]
0.626166 0.478668 	[Landau(wv)],[L-R both/0.5(tourn-wv)]
0.626166 0.47867 	[CDTT(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.626166 0.478699 	[Landau(wv)],[L-R both/0.25(tourn-wv)]
0.626166 0.47869 	[CGTT(wv)],[2. order Copeland]
0.626166 0.478706 	[Schwartz(wv)],[Keener(0.001, +1, raw)(tourn-wv)]
0.626166 0.478707 	[MDD(sum)(wv)],[L-R both/1.5(tourn-wv)]
0.626166 0.478721 	[CGTT(wv)],[L-R both/0.25(tourn-wv)]
0.626166 0.47875 	[Landau(wv)],[2. order Copeland/2/1]
0.626167 0.478621 	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.626167 0.478638 	[Schwartz(wv)],[2. order Copeland]
0.626167 0.478645 	[Condorcet],[L-R both/1.5(tourn-wv)]
0.626167 0.478665 	[Smith(wv)],[L-R both/0.5(tourn-wv)]
0.626167 0.478713 	[CDTT(wv)],[Copeland]
0.626167 0.478714 	[CDTT(wv)],[HITS(0.001)(tourn-wv)]
0.626167 0.478717 	[MDD(sum)(wv)],[Copeland]
0.626167 0.478726 	[CDTT(wv)],[Schulze(tourn-wv)]
0.626167 0.478728 	[Smith(wv)],[Schulze(tourn-wv)]
0.626167 0.478733 	[Schwartz(wv)],[L-R defense/1.25(tourn-wv)]
0.626167 0.478738 	[CGTT(wv)],[Minmax(tourn-wv)]
0.626168 0.478618 	[CGTT(wv)],[L-R defense/1(tourn-wv)]
0.626168 0.478658 	[Schwartz(wv)],[2. order Copeland/2/1]
0.626168 0.478671 	[CGTT(wv)],[Gradual-[CDTT(wv)](None, cardinal)]
0.626168 0.478674 	Schulze(tourn-wv)
0.626168 0.478696 	[Condorcet],[L-R both/2(tourn-wv)]
0.626168 0.47869 	[Schwartz(wv)],[Copeland]
0.626168 0.478729 	[Condorcet],[2. order Copeland/2/1]
0.626168 0.478734 	[CDTT(wv)],[L-R defense/2.25(tourn-wv)]
0.626168 0.478743 	[Schwartz(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.626169 0.478637 	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.626169 0.478645 	2. order Copeland/2/1
0.626169 0.478658 	[MDD(sum)(wv)],[L-R both/1.25(tourn-wv)]
0.626169 0.478661 	[CDTT(wv)],[L-R offense/0.75(tourn-wv)]
0.626169 0.478671 	L-R both/0.5(tourn-wv)
0.626169 0.478687 	[MDD(sum)(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.626169 0.478722 	[CGTT(wv)],[Copeland]
0.626169 0.478728 	[CGTT(wv)],[ODM(0.001)(tourn-wv)]
0.626169 0.47872 	[Landau(wv)],[L-R both/1.25(tourn-wv)]
0.626169 0.478735 	[CGTT(wv)],[Copeland]
0.62617 0.478649 	[CGTT(wv)],[Copeland]
0.62617 0.478658 	[Smith(wv)],[2. order Copeland/2/1]
0.62617 0.478666 	[Condorcet],[L-R both/0.5(tourn-wv)]
0.62617 0.478699 	[Landau(wv)],[2. order Copeland/2/1]
0.62617 0.478716 	[Schwartz(wv)],[L-R both/1(tourn-wv)]
0.62617 0.478724 	[Schwartz(wv)],[L-R both/0.75(tourn-wv)]
0.62617 0.478727 	[Smith(wv)],[2. order Copeland/2/1]
0.62617 0.478735 	[CDTT(wv)],[Sinkhorn(0.001, +1)(tourn-wv)]
0.62617 0.478735 	[CGTT(wv)],[L-R both/1.5(tourn-wv)]
0.626171 0.478617 	[Schwartz(wv)],[2. order Copeland]
0.626171 0.478622 	[CGTT(wv)],[L-R both/1.25(tourn-wv)]
0.626171 0.478638 	[Schwartz(wv)],[L-R offense/0.25(tourn-wv)]
0.626171 0.478663 	[CGTT(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.626171 0.478664 	[Schwartz(wv)],[L-R defense/0.5(tourn-wv)]
0.626171 0.478672 	[CGTT(wv)],[2. order Copeland]
0.626171 0.478677 	[MDD(sum)(wv)],[Copeland]
0.626171 0.478684 	[Landau(wv)],[HITS(0.001)(tourn-wv)]
0.626171 0.478694 	[Schwartz(wv)],[L-R offense/2(tourn-wv)]
0.626171 0.478698 	[Schwartz(wv)],[Copeland]
0.626171 0.478706 	[MDD(sum)(wv)],[Copeland]
0.626171 0.478726 	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.626171 0.478742 	[MDD(sum)(wv)],[L-R offense/1(tourn-wv)]
0.626171 0.478744 	[CDTT(wv)],[Ext-Minmax(tourn-wv)]
0.626172 0.478611 	[CDTT(wv)],[L-R both/1.5(tourn-wv)]
0.626172 0.478629 	[CDTT(wv)],[Minmax(tourn-wv)]
0.626172 0.478639 	[MDD(sum)(wv)],[L-R offense/0.5(tourn-wv)]
0.626172 0.47867 	[CGTT(wv)],[L-R defense/2(tourn-wv)]
0.626172 0.478682 	[CDTT(wv)],[Gradual-[CDTT(wv)](None, ordinal)]
0.626172 0.478686 	[CGTT(wv)],[L-R defense/0.75(tourn-wv)]
0.626172 0.478689 	2. order Copeland/2/1
0.626172 0.478702 	[Landau(wv)],[2. order Copeland/2/1]
0.626172 0.478708 	[CGTT(wv)],[L-R both/1(tourn-wv)]
0.626172 0.478711 	[Schwartz(wv)],[HITS(0.001)(tourn-wv)]
0.626173 0.478579 	[CDTT(wv)],[L-R defense/0.25(tourn-wv)]
0.626173 0.47862 	[Schwartz(wv)],[ODM(0.001)(tourn-wv)]
0.626173 0.478641 	[CDTT(wv)],[2. order Copeland/2/1]
0.626173 0.478657 	[Schwartz(wv)],[Maximin(tourn-wv)]
0.626173 0.478697 	[CGTT(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.626173 0.478697 	[Condorcet],[ODM-arctan(0.001)(tourn-wv)]
0.626173 0.478697 	[MDD(sum)(wv)],[L-R offense/0.25(tourn-wv)]
0.626173 0.478704 	[CDTT(wv)],[2. order Copeland/2/1]
0.626173 0.478719 	[CGTT(wv)],[L-R both/2.25(tourn-wv)]
0.626173 0.47871 	[Landau(wv)],[2. order Copeland/2/1]
0.626173 0.478728 	[Schwartz(wv)],[L-R defense/0.25(tourn-wv)]
0.626174 0.478698 	[CDTT(wv)],[L-R both/0.5(tourn-wv)]
0.626174 0.478699 	[Smith(wv)],[L-R both/1.5(tourn-wv)]
0.626174 0.47869 	[Landau(wv)],[ODM(0.001)(tourn-wv)]
0.626174 0.4787 	ODM-arctan(0.001)(tourn-wv)
0.626175 0.478648 	[Schwartz(wv)],[2. order Copeland]
0.626175 0.478654 	[Smith(wv)],[L-R both/0.75(tourn-wv)]
0.626175 0.478663 	[MDD(sum)(wv)],[L-R offense/1.25(tourn-wv)]
0.626175 0.478674 	L-R both/1.5(tourn-wv)
0.626175 0.478694 	[Schwartz(wv)],[Minmax(tourn-wv)]
0.626176 0.478673 	[Condorcet],[ODM(0.001)(tourn-wv)]
0.626176 0.478682 	[Condorcet],[L-R both/1.25(tourn-wv)]
0.626176 0.478697 	[CDTT(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.626176 0.47874 	[Schwartz(wv)],[Copeland]
0.626177 0.478611 	[Smith(wv)],[2. order Copeland/2/1]
0.626177 0.478679 	Sinkhorn(0.001, +1)(tourn-wv)
0.626177 0.478699 	[Landau(wv)],[L-R both/1.75(tourn-wv)]
0.626177 0.478704 	[Schwartz(wv)],[2. order Copeland/2/1]
0.626177 0.478732 	[Schwartz(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.626178 0.478674 	[Condorcet],[L-R both/1.75(tourn-wv)]
0.626178 0.478688 	L-R both/1(tourn-wv)
0.626178 0.478703 	[Schwartz(wv)],[Gradual-[MDD(direct)(wv)](None, cardinal)]
0.626178 0.478716 	[CDTT(wv)],[L-R both/1.75(tourn-wv)]
0.626179 0.478606 	[Condorcet],[Schulze(tourn-wv)]
0.626179 0.478648 	[Schwartz(wv)],[Dodgson-Quick(fwv)]
0.626179 0.478661 	[Smith(wv)],[L-R both/1.25(tourn-wv)]
0.626179 0.478681 	[MDD(sum)(wv)],[L-R offense/2(tourn-wv)]
0.626179 0.478688 	[CGTT(wv)],[L-R both/0.5(tourn-wv)]
0.626179 0.478708 	[CDTT(wv)],[L-R defense/0.5(tourn-wv)]
0.62618 0.478681 	[Schwartz(wv)],[2. order Copeland/2/1]
0.62618 0.478685 	[MDD(sum)(wv)],[L-R both/1(tourn-wv)]
0.62618 0.478688 	[CDTT(wv)],[Gradual-[CGTT(wv)](None, cardinal)]
0.62618 0.47869 	[CDTT(wv)],[2. order Copeland/2/1]
0.62618 0.478702 	[Schwartz(wv)],[L-R both/2(tourn-wv)]
0.62618 0.478716 	[CDTT(wv)],[2. order Copeland]
0.626181 0.478618 	[Schwartz(wv)],[L-R both/1.25(tourn-wv)]
0.626181 0.478652 	[MDD(sum)(wv)],[ODM-arctan(0.001)(tourn-wv)]
0.626181 0.478668 	[CGTT(wv)],[Gradual-[MDD(direct)(wv)](None, ordinal)]
0.626181 0.478672 	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.626181 0.47869 	2. order Copeland/2/1
0.626181 0.478696 	[Schwartz(wv)],[L-R both/2.25(tourn-wv)]
0.626181 0.47869 	[CDTT(wv)],[L-R offense/1.25(tourn-wv)]
0.626182 0.478687 	[CGTT(wv)],[L-R defense/0.25(tourn-wv)]
0.626182 0.478689 	[CDTT(wv)],[L-R both/0.75(tourn-wv)]
0.626182 0.478726 	[CDTT(wv)],[L-R both/1(tourn-wv)]
0.626183 0.478681 	[CGTT(wv)],[Copeland]
0.626183 0.478689 	[MDD(sum)(wv)],[L-R both/2.25(tourn-wv)]
0.626183 0.478692 	[CDTT(wv)],[Dodgson-Quick(rel-margins)]
0.626183 0.478692 	[Landau(wv)],[L-R both/1.5(tourn-wv)]
0.626183 0.478699 	[CGTT(wv)],[Ext-Minmin(tourn-wv)]
0.626183 0.478705 	[Schwartz(wv)],[2. order Copeland]
0.626184 0.478689 	[CDTT(wv)],[Maximin(tourn-wv)]
0.626184 0.478713 	[CDTT(wv)],[Copeland]
0.626185 0.478683 	[CGTT(wv)],[Copeland]
0.626186 0.478678 	[Landau(wv)],[L-R both/0.75(tourn-wv)]
0.626189 0.478683 	[CGTT(wv)],[L-R offense/2.25(tourn-wv)]
0.626823 0.285037 	[SDom(wv)],[Keener(0.001, +1, raw)(w/tv)]
0.627895 0.491474 	[Condorcet],[Copeland]
0.627899 0.491425 	[Smith(wv)],[Copeland]
0.627904 0.49141 	[Smith(wv)],[L-R offense/1(tourn-wv)]
0.627909 0.491512 	[Landau(wv)],[Copeland]
0.62791 0.49151 	[Smith(wv)],[L-R offense/1.25(tourn-wv)]
0.627911 0.491426 	[Smith(wv)],[Copeland]
0.627911 0.491438 	[Landau(wv)],[Copeland]
0.627911 0.491482 	[Smith(wv)],[Copeland]
0.627912 0.491426 	[Smith(wv)],[Copeland]
0.627913 0.491431 	[Landau(wv)],[L-R offense/1.5(tourn-wv)]
0.627913 0.491485 	[Landau(wv)],[L-R offense/0.5(tourn-wv)]
0.627914 0.491396 	[Smith(wv)],[Copeland]
0.627918 0.491405 	[Landau(wv)],[Copeland]
0.62792 0.491417 	[Condorcet],[Copeland]
0.627923 0.491419 	[Smith(wv)],[L-R offense/2.25(tourn-wv)]
0.627924 0.491394 	L-R offense/1(tourn-wv)
0.627925 0.491454 	[Condorcet],[L-R offense/2.25(tourn-wv)]
0.627926 0.491398 	[Condorcet],[Copeland]
0.627928 0.491481 	[Condorcet],[L-R offense/0.25(tourn-wv)]
0.627932 0.491489 	Copeland
0.627933 0.491398 	[Condorcet],[L-R offense/0.75(tourn-wv)]
0.627933 0.491461 	L-R offense/2.25(tourn-wv)
0.627935 0.491517 	[Smith(wv)],[L-R offense/2(tourn-wv)]
0.627937 0.491363 	[Landau(wv)],[L-R offense/1(tourn-wv)]
0.627939 0.491501 	L-R offense/0.25(tourn-wv)
0.62794 0.491524 	[Landau(wv)],[Maximin(tourn-wv)]
0.627941 0.49145 	[Smith(wv)],[Copeland]
0.627941 0.491471 	Copeland
0.627941 0.491507 	[Smith(wv)],[L-R offense/0.75(tourn-wv)]
0.627941 0.491519 	L-R offense/0.5(tourn-wv)
0.627943 0.491449 	[Smith(wv)],[L-R offense/0.5(tourn-wv)]
0.627943 0.49144 	[Smith(wv)],[L-R offense/1.75(tourn-wv)]
0.627943 0.491464 	[Landau(wv)],[Copeland]
0.627944 0.491415 	[Landau(wv)],[L-R offense/1.25(tourn-wv)]
0.627948 0.491386 	[Landau(wv)],[L-R offense/0.75(tourn-wv)]
0.627948 0.491454 	L-R offense/2(tourn-wv)
0.627949 0.491479 	[Condorcet],[Copeland]
0.62795 0.491473 	[Landau(wv)],[L-R offense/1.75(tourn-wv)]
0.627951 0.491414 	[Condorcet],[L-R offense/1.75(tourn-wv)]
0.627951 0.491515 	[Condorcet],[Copeland]
0.627952 0.491528 	[Condorcet],[Maximin(tourn-wv)]
0.627952 0.491534 	[Smith(wv)],[L-R offense/1.5(tourn-wv)]
0.627954 0.491435 	[Smith(wv)],[Maximin(tourn-wv)]
0.627958 0.491454 	Copeland
0.627958 0.49152 	Copeland
0.62796 0.491397 	Copeland
0.62796 0.49146 	[Smith(wv)],[Copeland]
0.627961 0.491461 	[Condorcet],[L-R offense/0.5(tourn-wv)]
0.627962 0.491451 	[Landau(wv)],[Copeland]
0.627964 0.491389 	L-R offense/1.25(tourn-wv)
0.627965 0.491379 	[Landau(wv)],[L-R offense/2.25(tourn-wv)]
0.627968 0.491464 	L-R offense/1.75(tourn-wv)
0.627968 0.49148 	[Condorcet],[Copeland]
0.62797 0.491394 	[Condorcet],[L-R offense/2(tourn-wv)]
0.62797 0.491394 	[Landau(wv)],[L-R offense/0.25(tourn-wv)]
0.627972 0.491526 	[Condorcet],[L-R offense/1.25(tourn-wv)]
0.627973 0.491464 	L-R offense/1.5(tourn-wv)
0.627973 0.491465 	Copeland
0.627973 0.491499 	[Condorcet],[L-R offense/1.5(tourn-wv)]
0.627974 0.491379 	[Landau(wv)],[Copeland]
0.627974 0.491466 	[Landau(wv)],[L-R offense/2(tourn-wv)]
0.627975 0.491497 	[Smith(wv)],[L-R offense/0.25(tourn-wv)]
0.627977 0.491515 	[Condorcet],[L-R offense/1(tourn-wv)]
0.627983 0.491425 	[Landau(wv)],[Copeland]
0.627996 0.491409 	L-R offense/0.75(tourn-wv)
0.628018 0.491483 	[Condorcet],[Copeland]
0.628024 0.491472 	Copeland
0.631942 0.382646 	[Schwartz(wv)],[Eliminate-[NREM-Opt]/fd]
0.632038 0.382243 	[Schwartz(wv)],[Eliminate-[VoteForAgainst]/fd]
0.632248 0.382648 	[CGTT(wv)],[Eliminate-[Borda]/fd]
0.632281 0.382433 	[CDTT(wv)],[Eliminate-[Borda]/fd]
0.632357 0.382508 	[CDTT(wv)],[Eliminate-[NREM-Opt]/fd]
0.632455 0.382574 	[Schwartz(wv)],[Eliminate-[Borda]/fd]
0.632514 0.383127 	[CDTT(wv)],[Eliminate-[VoteForAgainst]/fd]
0.632524 0.38261 	[CGTT(wv)],[Eliminate-[NREM-Opt]/fd]
0.632682 0.477349 	[CGTT(wv)],[VMedianOS-10(norm)]
0.632751 0.477664 	[CGTT(wv)],[Gradual-[Condorcet](None, cardinal)]
0.632864 0.477398 	[CDTT(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.632877 0.477372 	[CDTT(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.632888 0.477389 	[Schwartz(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.63291 0.477499 	[CGTT(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.632925 0.477412 	[Schwartz(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.632926 0.477145 	[CGTT(wv)],[Gradual-[Landau(wv)](None, ordinal)]
0.632929 0.477545 	[CGTT(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.632942 0.477404 	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.632942 0.477536 	[Schwartz(wv)],[Gradual-[Condorcet](None, cardinal)]
0.632943 0.477352 	[Schwartz(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.632964 0.477509 	[CGTT(wv)],[Gradual-[Condorcet](None, ordinal)]
0.632994 0.477355 	[Condorcet],[Keener(0.001, +1, norm)(tourn-wv)]
0.633001 0.382829 	[CGTT(wv)],[Eliminate-[VoteForAgainst]/fd]
0.633013 0.477255 	[CGTT(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.633014 0.477377 	[Schwartz(wv)],[VMedianOS-10(norm)]
0.633016 0.477568 	[Schwartz(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.633024 0.477474 	Keener(0.001, +1, norm)(tourn-wv)
0.633047 0.477172 	[Smith(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.633052 0.477395 	[Schwartz(wv)],[Gradual-[Condorcet](None, ordinal)]
0.633072 0.477319 	[CDTT(wv)],[Gradual-[Condorcet](None, ordinal)]
0.633096 0.477196 	[Landau(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.6331 0.477121 	[Schwartz(wv)],[VMedianOS-10()]
0.63311 0.477617 	[CDTT(wv)],[Gradual-[Condorcet](None, cardinal)]
0.633123 0.477469 	[CGTT(wv)],[VMedianOS-10()]
0.633134 0.477147 	[CDTT(wv)],[Gradual-[Landau(wv)](None, cardinal)]
0.633153 0.477458 	[CDTT(wv)],[VMedianOS-10()]
0.633221 0.477356 	[CGTT(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.633314 0.477022 	[Schwartz(wv)],[Gradual-[Smith(wv)](None, ordinal)]
0.63336 0.47714 	[CDTT(wv)],[Keener(0.001, +1, norm)(tourn-wv)]
0.633379 0.477258 	[CDTT(wv)],[Gradual-[Smith(wv)](None, cardinal)]
0.633585 0.477819 	[CDTT(wv)],[VMedianOS-10(norm)]
0.635097 0.304741 	[SDom(wv)],[Keener(0.001, +1, raw)(keener)]
0.635351 0.398782 	[MDD(sum)(wv)],[L-R defense/1(w/tv)]
0.635356 0.398745 	[Schwartz(wv)],[L-R defense/0.5(fwv)]
0.63536 0.398759 	L-R defense/0.75(w/tv)
0.63536 0.398785 	[Schwartz(wv)],[Maximin(PO)]
0.63536 0.398796 	[Smith(wv)],[L-R defense/1.25(w/tv)]
0.635361 0.398767 	[CDTT(wv)],[L-R defense/2(w/tv)]
0.635361 0.398777 	[Schwartz(wv)],[L-R defense/2.25(w/tv)]
0.635361 0.39877 	[Schwartz(wv)],[L-R defense/2.25(fwv)]
0.635361 0.398792 	[Schwartz(wv)],[L-R defense/0.25(w/tv)]
0.635362 0.398753 	[CDTT(wv)],[L-R defense/1.75(rel-margins)]
0.635362 0.398774 	[CDTT(wv)],[L-R defense/2.25(fwv)]
0.635362 0.398797 	[CDTT(wv)],[L-R defense/1.5(rel-margins)]
0.635363 0.398757 	[CGTT(wv)],[L-R defense/1.5(rel-margins)]
0.635363 0.398763 	[Schwartz(wv)],[L-R defense/2.25(rel-margins)]
0.635363 0.398784 	[Schwartz(wv)],[L-R defense/1(rel-margins)]
0.635364 0.398757 	[Landau(wv)],[L-R defense/0.25(w/tv)]
0.635365 0.398754 	[Schwartz(wv)],[Minmax(PO)]
0.635365 0.398779 	[CGTT(wv)],[Minmax(fwv)]
0.635365 0.39878 	[Schwartz(wv)],[L-R defense/2(wv)]
0.635366 0.39877 	[CDTT(wv)],[L-R defense/1(wv)]
0.635366 0.398784 	[CGTT(wv)],[L-R defense/2(wv)]
0.635366 0.39878 	L-R defense/1.75(w/tv)
0.635367 0.398785 	[CDTT(wv)],[L-R defense/0.75(fwv)]
0.635367 0.398795 	[CDTT(wv)],[Dodgson-Quick(w/tv)]
0.635368 0.398741 	[CGTT(wv)],[L-R defense/1.25(rel-margins)]
0.635368 0.39875 	[CGTT(wv)],[L-R defense/0.75(fwv)]
0.635368 0.398775 	[CGTT(wv)],[Ext-Minmin(rel-margins)]
0.635368 0.398793 	[Condorcet],[L-R defense/1.75(w/tv)]
0.635369 0.39876 	[CGTT(wv)],[L-R defense/0.75(w/tv)]
0.635369 0.398788 	[CDTT(wv)],[L-R defense/1.25(rel-margins)]
0.63537 0.398742 	[Schwartz(wv)],[L-R defense/0.25(wv)]
0.63537 0.398758 	[CDTT(wv)],[L-R defense/0.5(w/tv)]
0.63537 0.398762 	[CGTT(wv)],[L-R defense/0.75(wv)]
0.63537 0.398767 	[CGTT(wv)],[L-R defense/0.25(w/tv)]
0.63537 0.398796 	[Condorcet],[L-R defense/2.25(w/tv)]
0.635371 0.398757 	[Schwartz(wv)],[L-R defense/1(fwv)]
0.635371 0.39875 	[CGTT(wv)],[L-R defense/2(fwv)]
0.635371 0.398785 	[CDTT(wv)],[L-R defense/0.25(rel-margins)]
0.635372 0.398751 	[CDTT(wv)],[Minmax(w/tv)]
0.635372 0.398764 	[CGTT(wv)],[L-R defense/1.5(wv)]
0.635372 0.398766 	[Schwartz(wv)],[Ext-Minmax(rel-margins)]
0.635372 0.398812 	[Smith(wv)],[L-R defense/0.75(w/tv)]
0.635373 0.398727 	[CDTT(wv)],[L-R defense/1.75(w/tv)]
0.635373 0.398753 	L-R defense/1(w/tv)
0.635373 0.398778 	[CGTT(wv)],[L-R defense/2.25(w/tv)]
0.635373 0.398792 	[Schwartz(wv)],[Maximin(keener)]
0.635374 0.398732 	[Condorcet],[L-R defense/2(w/tv)]
0.635374 0.398733 	[CDTT(wv)],[L-R defense/0.25(w/tv)]
0.635374 0.398753 	[CDTT(wv)],[L-R defense/2(fwv)]
0.635374 0.398777 	L-R defense/2.25(w/tv)
0.635374 0.398789 	[CGTT(wv)],[L-R defense/2.25(fwv)]
0.635375 0.398737 	[CDTT(wv)],[L-R defense/1.5(wv)]
0.635375 0.398752 	[Schwartz(wv)],[Ext-Minmax(fwv)]
0.635375 0.398788 	[Schwartz(wv)],[L-R defense/1.25(w/tv)]
0.635376 0.398752 	[CDTT(wv)],[L-R defense/2.25(wv)]
0.635376 0.398762 	[CGTT(wv)],[L-R defense/2(rel-margins)]
0.635376 0.398764 	[CDTT(wv)],[L-R defense/0.75(w/tv)]
0.635376 0.398768 	[Smith(wv)],[L-R defense/1.5(w/tv)]
0.635376 0.398771 	[CDTT(wv)],[Maximin(PO)]
0.635376 0.398788 	[CDTT(wv)],[L-R defense/0.25(fwv)]
0.635376 0.39878 	[CGTT(wv)],[Dodgson-Quick(w/tv)]
0.635377 0.398731 	[CGTT(wv)],[L-R defense/1.5(w/tv)]
0.635377 0.398744 	[CDTT(wv)],[L-R defense/0.25(wv)]
0.635377 0.398773 	[MDD(sum)(wv)],[Dodgson-Quick(w/tv)]
0.635377 0.398785 	[CGTT(wv)],[Minmax(w/tv)]
0.635377 0.39878 	[Schwartz(wv)],[L-R defense/1.5(w/tv)]
0.635377 0.398811 	[Schwartz(wv)],[L-R defense/2(fwv)]
0.635378 0.398731 	[Landau(wv)],[L-R defense/1.75(w/tv)]
0.635378 0.398738 	[CDTT(wv)],[L-R defense/2(wv)]
0.635378 0.398748 	[CDTT(wv)],[L-R defense/1(fwv)]
0.635378 0.398771 	[MDD(sum)(wv)],[L-R defense/1.25(w/tv)]
0.635379 0.398732 	[CDTT(wv)],[L-R defense/0.5(fwv)]
0.635379 0.398763 	[CGTT(wv)],[L-R defense/1.75(wv)]
0.63538 0.398741 	[CDTT(wv)],[Maximin(keener)]
0.63538 0.398768 	[CDTT(wv)],[Ext-Minmin(wv)]
0.63538 0.398778 	[CDTT(wv)],[L-R defense/1.25(w/tv)]
0.63538 0.398784 	[MDD(sum)(wv)],[L-R defense/0.75(w/tv)]
0.63538 0.398788 	[CDTT(wv)],[Ext-Minmin(fwv)]
0.635381 0.398739 	[CDTT(wv)],[Ext-Minmax(rel-margins)]
0.635381 0.398739 	[CGTT(wv)],[L-R defense/1(wv)]
0.635381 0.398744 	[CGTT(wv)],[L-R defense/1.25(wv)]
0.635381 0.398745 	[Schwartz(wv)],[Ext-Minmin(wv)]
0.635381 0.398756 	[CDTT(wv)],[Minmax(wv)]
0.635381 0.398764 	[CDTT(wv)],[Minmax(PO)]
0.635381 0.398775 	[CDTT(wv)],[Minmax(rel-margins)]
0.635381 0.3988 	[CDTT(wv)],[Dodgson-Quick(wv)]
0.635382 0.39873 	[CGTT(wv)],[L-R defense/1.75(rel-margins)]
0.635382 0.39875 	[CGTT(wv)],[L-R defense/0.75(rel-margins)]
0.635382 0.398761 	[Schwartz(wv)],[Ext-Minmin(fwv)]
0.635382 0.398771 	[CGTT(wv)],[Maximin(keener)]
0.635382 0.398784 	[CGTT(wv)],[Ext-Minmax(w/tv)]
0.635382 0.398798 	[MDD(sum)(wv)],[L-R defense/2.25(w/tv)]
0.635382 0.398806 	[Condorcet],[L-R defense/1.25(w/tv)]
0.635383 0.398709 	[Landau(wv)],[L-R defense/0.75(w/tv)]
0.635383 0.398731 	[Condorcet],[L-R defense/0.5(w/tv)]
0.635383 0.398782 	[CGTT(wv)],[L-R defense/1.75(w/tv)]
0.635383 0.398784 	[CDTT(wv)],[L-R defense/1.25(fwv)]
0.635384 0.398717 	[Landau(wv)],[L-R defense/2(w/tv)]
0.635384 0.398731 	[Schwartz(wv)],[Minmax(w/tv)]
0.635384 0.398748 	[CDTT(wv)],[Ext-Minmin(rel-margins)]
0.635384 0.39874 	[Schwartz(wv)],[L-R defense/1.75(w/tv)]
